dt,open,high,low,close,volume
2010-01-04 09:45:00,23.94,23.98,23.77,23.8,54335
2010-01-04 10:00:00,23.8,23.97,23.74,23.965,84201
2010-01-04 10:15:00,23.98,23.99,23.81,23.84,108519
2010-01-04 10:30:00,23.85,23.91,23.825,23.9,128219
2010-01-04 10:45:00,23.915,23.93,23.85,23.85,152871
2010-01-04 11:00:00,23.85,23.96,23.83,23.93,173766
2010-01-04 11:15:00,23.915,23.95,23.89,23.9,215854
2010-01-04 11:30:00,23.91,23.94,23.88,23.92,228768
2010-01-04 11:45:00,23.93,24.11,23.93,24.1009,255131
2010-01-04 12:00:00,24.09,24.18,24.09,24.18,277694
2010-01-04 12:15:00,24.18,24.19,24.1315,24.18,290464
2010-01-04 12:30:00,24.19,24.2,24.14,24.14,300444
2010-01-04 12:45:00,24.14,24.18,24.08,24.11,313169
2010-01-04 13:00:00,24.12,24.16,24.12,24.14,318650
2010-01-04 13:15:00,24.14,24.14,24.07,24.07,335850
2010-01-04 13:30:00,24.06,24.15,24.056,24.15,349303
2010-01-04 13:45:00,24.14,24.15,24.05,24.06,364250
2010-01-04 14:00:00,24.05,24.07,24.03,24.03,370867
2010-01-04 14:15:00,24.03,24.11,24.03,24.0907,383943
2010-01-04 14:30:00,24.1,24.13,24.08,24.13,399142
2010-01-04 14:45:00,24.13,24.15,24.11,24.14,412923
2010-01-04 15:00:00,24.14,24.15,24.13,24.14,427491
2010-01-04 15:15:00,24.13,24.21,24.12,24.195,444734
2010-01-04 15:30:00,24.19,24.2,24.18,24.2,462070
2010-01-04 15:45:00,24.2,24.23,24.17,24.23,490876
2010-01-04 16:00:00,24.23,24.29,24.22,24.25,548364
2010-01-05 09:45:00,24.26,24.3,24.13,24.14,11324
2010-01-05 10:00:00,24.15,24.2,24.12,24.13,24714
2010-01-05 10:15:00,24.13,24.29,24.11,24.29,41327
2010-01-05 10:30:00,24.3,24.32,24.23,24.28,55165
2010-01-05 10:45:00,24.2798,24.29,24.21,24.29,61865
2010-01-05 11:00:00,24.29,24.3,24.24,24.25,71384
2010-01-05 11:15:00,24.25,24.29,24.181,24.29,81451
2010-01-05 11:30:00,24.29,24.29,24.19,24.19,87251
2010-01-05 11:45:00,24.1801,24.2,24.16,24.19,92032
2010-01-05 12:00:00,24.19,24.22,24.18,24.2198,98132
2010-01-05 12:15:00,24.21,24.27,24.19,24.25,110596
2010-01-05 12:30:00,24.2487,24.26,24.21,24.24,153856
2010-01-05 12:45:00,24.23,24.29,24.23,24.26,169101
2010-01-05 13:00:00,24.27,24.28,24.25,24.25,175990
2010-01-05 13:15:00,24.25,24.27,24.24,24.26,187340
2010-01-05 13:30:00,24.25,24.275,24.23,24.275,216751
2010-01-05 13:45:00,24.27,24.29,24.24,24.29,225005
2010-01-05 14:00:00,24.29,24.4,24.27,24.4,254625
2010-01-05 14:15:00,24.4,24.41,24.38,24.39,271511
2010-01-05 14:30:00,24.39,24.42,24.38,24.41,281935
2010-01-05 14:45:00,24.41,24.43,24.38,24.4,300812
2010-01-05 15:00:00,24.4,24.45,24.4,24.44,313462
2010-01-05 15:15:00,24.43,24.44,24.41,24.42,350359
2010-01-05 15:30:00,24.41,24.52,24.4,24.52,380691
2010-01-05 15:45:00,24.51,24.61,24.495,24.57,416018
2010-01-05 16:00:00,24.59,24.67,24.57,24.63,515214
2010-01-06 09:45:00,24.52,24.52,24.38,24.48,18710
2010-01-06 10:00:00,24.48,24.5081,24.44,24.44,55990
2010-01-06 10:15:00,24.44,24.5,24.3701,24.5,113138
2010-01-06 10:30:00,24.49,24.5,24.36,24.37,121138
2010-01-06 10:45:00,24.38,24.46,24.37,24.4501,129085
2010-01-06 11:00:00,24.45,24.53,24.45,24.53,133535
2010-01-06 11:15:00,24.53,24.53,24.46,24.475,140735
2010-01-06 11:30:00,24.4725,24.48,24.45,24.45,151191
2010-01-06 11:45:00,24.45,24.54,24.45,24.53,157692
2010-01-06 12:00:00,24.53,24.54,24.5,24.52,165742
2010-01-06 12:15:00,24.51,24.54,24.5,24.52,172324
2010-01-06 12:30:00,24.52,24.54,24.5,24.52,177067
2010-01-06 12:45:00,24.52,24.57,24.51,24.57,187371
