dt,open,high,low,close,volume
2010-01-04 09:45:00,53.02,53.02,52.6,53.02,56105
2010-01-04 10:00:00,53.04,53.24,52.97,53.04,91840
2010-01-04 10:15:00,53.08,53.09,52.93,53.02,117594
2010-01-04 10:30:00,53.05,53.05,52.93,52.965,154078
2010-01-04 10:45:00,52.965,53.0,52.86,52.9,180390
2010-01-04 11:00:00,52.9,52.96,52.82,52.82,209846
2010-01-04 11:15:00,52.8425,52.93,52.81,52.87,227352
2010-01-04 11:30:00,52.89,52.93,52.73,52.78,276065
2010-01-04 11:45:00,52.85,52.89,52.74,52.74,303445
2010-01-04 12:00:00,52.74,52.76,52.67,52.7,318575
2010-01-04 12:15:00,52.7,52.7,52.64,52.69,335983
2010-01-04 12:30:00,52.7,52.72,52.62,52.62,353148
2010-01-04 12:45:00,52.62,52.62,52.5,52.51,393512
2010-01-04 13:00:00,52.51,52.56,52.51,52.51,406825
2010-01-04 13:15:00,52.51,52.52,52.45,52.48,430312
2010-01-04 13:30:00,52.51,52.54,52.45,52.49,450820
2010-01-04 13:45:00,52.5,52.5,52.47,52.48,463860
2010-01-04 14:00:00,52.4775,52.48,52.38,52.42,488727
2010-01-04 14:15:00,52.43,52.5,52.42,52.49,499166
2010-01-04 14:30:00,52.5,52.58,52.48,52.48,519591
2010-01-04 14:45:00,52.5,52.57,52.48,52.53,538675
2010-01-04 15:00:00,52.54,52.55,52.48,52.48,560640
2010-01-04 15:15:00,52.48,52.5,52.48,52.48,592238
2010-01-04 15:30:00,52.48,52.49,52.46,52.48,626944
2010-01-04 15:45:00,52.4775,52.48,52.38,52.39,694578
2010-01-04 16:00:00,52.4,52.52,52.39,52.52,758596
2010-01-05 09:45:00,52.59,52.59,52.3,52.35,40100
2010-01-05 10:00:00,52.35,52.37,52.09,52.1,78816
2010-01-05 10:15:00,52.1,52.26,51.98,52.26,105744
2010-01-05 10:30:00,52.26,52.34,52.26,52.31,132416
2010-01-05 10:45:00,52.31,52.34,52.27,52.27,166591
2010-01-05 11:00:00,52.28,52.28,52.09,52.15,225505
2010-01-05 11:15:00,52.14,52.23,52.1,52.1075,285698
2010-01-05 11:30:00,52.1,52.11,51.85,51.87,339334
2010-01-05 11:45:00,51.86,51.89,51.8,51.83,381934
2010-01-05 12:00:00,51.8109,51.94,51.8109,51.87,397524
2010-01-05 12:15:00,51.87,51.89,51.81,51.82,432766
2010-01-05 12:30:00,51.82,51.825,51.8,51.8194,460766
2010-01-05 12:45:00,51.81,51.83,51.8,51.83,475016
2010-01-05 13:00:00,51.825,51.83,51.785,51.815,488580
2010-01-05 13:15:00,51.81,51.87,51.79,51.86,522392
2010-01-05 13:30:00,51.85,51.88,51.78,51.84,544169
2010-01-05 13:45:00,51.85,51.88,51.815,51.87,558219
2010-01-05 14:00:00,51.87,51.87,51.77,51.83,577587
2010-01-05 14:15:00,51.82,51.83,51.75,51.75,604515
2010-01-05 14:30:00,51.75,51.755,51.62,51.64,640083
2010-01-05 14:45:00,51.65,51.72,51.64,51.685,663264
2010-01-05 15:00:00,51.685,51.795,51.68,51.795,681349
2010-01-05 15:15:00,51.8,51.8,51.7,51.74,720493
2010-01-05 15:30:00,51.75,51.83,51.705,51.81,769300
2010-01-05 15:45:00,51.81,51.86,51.77,51.83,820282
2010-01-05 16:00:00,51.83,51.87,51.8,51.83,890573
2010-01-06 09:45:00,51.66,51.71,51.43,51.51,24317
2010-01-06 10:00:00,51.5,51.72,51.49,51.71,56265
2010-01-06 10:15:00,51.7,51.74,51.6,51.67,113437
2010-01-06 10:30:00,51.65,51.94,51.64,51.86,156100
2010-01-06 10:45:00,51.82,51.94,51.77,51.85,195371
2010-01-06 11:00:00,51.84,52.02,51.77,52.01,224932
2010-01-06 11:15:00,52.01,52.01,51.98,51.99,253376
2010-01-06 11:30:00,51.99,52.045,51.94,51.97,327245
2010-01-06 11:45:00,51.96,52.06,51.93,52.03,357876
2010-01-06 12:00:00,52.04,52.0675,51.93,51.93,412680
2010-01-06 12:15:00,51.942,51.98,51.85,51.94,474687
2010-01-06 12:30:00,51.945,52.0,51.87,51.8719,518569
2010-01-06 12:45:00,51.87,51.96,51.87,51.94,549479
2010-01-06 13:00:00,51.96,52.05,51.96,52.0,570110
2010-01-06 13:15:00,52.03,52.07,51.99,52.0299,603292
2010-01-06 13:30:00,52.02,52.07,51.99,52.06,624022
2010-01-06 13:45:00,52.06,52.07,51.985,52.0,637396
2010-01-06 14:00:00,52.0,52.01,51.93,51.99,654656
2010-01-06 14:15:00,51.99,52.09,51.99,52.03,675698
2010-01-06 14:30:00,52.03,52.03,51.96,51.98,691998
2010-01-06 14:45:00,51.98,52.16,51.98,52.15,717887
2010-01-06 15:00:00,52.15,52.24,52.12,52.22,744188
2010-01-06 15:15:00,52.21,52.22,52.08,52.195,780887
2010-01-06 15:30:00,52.19,52.22,52.15,52.2,797640
2010-01-06 15:45:00,52.17,52.29,52.15,52.19,853916
2010-01-06 16:00:00,52.2,52.3,52.16,52.3,940233
2010-01-07 09:45:00,51.39,52.24,51.11,52.22,120693
2010-01-07 10:00:00,52.2,52.22,51.73,51.77,311854
2010-01-07 10:15:00,51.78,51.97,51.72,51.72,380779
2010-01-07 10:30:00,51.72,51.88,51.68,51.85,452490
