dt,open,high,low,close,volume
2010-01-04 09:45:00,84.79,85.21,83.46,84.93,49828
2010-01-04 10:00:00,84.93,85.0,84.24,84.24,74277
2010-01-04 10:15:00,84.33,84.43,83.16,83.22,133524
2010-01-04 10:30:00,83.23,84.14,83.215,84.08,160935
2010-01-04 10:45:00,84.0,84.16,83.73,84.04,1228896
2010-01-04 11:00:00,84.1012,84.12,83.6219,83.76,1249535
2010-01-04 11:15:00,83.83,84.04,83.8102,83.83,1263357
2010-01-04 11:30:00,83.84,84.05,83.54,83.65,1303625
2010-01-04 11:45:00,83.66,84.25,83.6,84.14,1343779
2010-01-04 12:00:00,84.04,84.31,84.01,84.09,1374959
2010-01-04 12:15:00,84.09,84.22,84.05,84.17,1383948
2010-01-04 12:30:00,84.14,84.21,84.13,84.16,1393407
2010-01-04 12:45:00,84.19,84.25,84.05,84.05,1407911
2010-01-04 13:00:00,84.1099,84.1099,83.66,83.76,1428051
2010-01-04 13:15:00,83.79,83.79,83.52,83.52,1447288
2010-01-04 13:30:00,83.53,83.53,83.36,83.42,1473368
2010-01-04 13:45:00,83.42,83.42,83.36,83.37,1489849
2010-01-04 14:00:00,83.3401,83.46,83.15,83.46,1519069
2010-01-04 14:15:00,83.46,83.52,83.28,83.317,1527728
2010-01-04 14:30:00,83.3,83.5,83.29,83.47,1538844
2010-01-04 14:45:00,83.4692,83.48,83.26,83.32,1552954
2010-01-04 15:00:00,83.31,83.42,83.31,83.35,1565921
2010-01-04 15:15:00,83.35,83.5,83.31,83.33,1582741
2010-01-04 15:30:00,83.37,83.37,83.17,83.21,1607102
2010-01-04 15:45:00,83.22,83.36,83.11,83.33,1652083
2010-01-04 16:00:00,83.35,83.44,83.28,83.42,1745037
2010-01-05 09:45:00,83.15,83.93,83.14,83.15,37977
2010-01-05 10:00:00,83.15,83.28,82.43,82.43,55394
2010-01-05 10:15:00,82.36,82.92,82.17,82.87,79930
2010-01-05 10:30:00,82.91,83.81,82.8,83.77,125267
2010-01-05 10:45:00,83.73,84.76,83.66,84.76,1238934
2010-01-05 11:00:00,84.69,86.1,84.58,85.74,1321374
2010-01-05 11:15:00,85.8,86.5,85.44,85.925,1433027
2010-01-05 11:30:00,85.905,86.56,85.69,86.52,1519167
2010-01-05 11:45:00,86.56,86.74,86.07,86.63,1567047
2010-01-05 12:00:00,86.64,87.59,86.6,87.5,1673180
2010-01-05 12:15:00,87.57,88.87,87.36,87.97,1773427
2010-01-05 12:30:00,87.99,88.51,87.83,88.12,1945178
2010-01-05 12:45:00,88.13,88.36,87.92,88.35,2003304
2010-01-05 13:00:00,88.35,89.58,88.26,89.19,2089790
2010-01-05 13:15:00,89.23,89.74,89.17,89.5,2182228
2010-01-05 13:30:00,89.45,89.62,89.0725,89.1,2267559
2010-01-05 13:45:00,89.06,89.99,88.94,89.66,2330962
2010-01-05 14:00:00,89.61,89.67,88.67,88.67,2384268
2010-01-05 14:15:00,88.66,88.78,87.27,87.27,2484605
2010-01-05 14:30:00,87.27,87.52,86.99,87.42,2541006
2010-01-05 14:45:00,87.41,87.57,87.2,87.32,2562206
2010-01-05 15:00:00,87.37,87.53,87.21,87.41,2574082
2010-01-05 15:15:00,87.4,87.48,87.14,87.16,2591586
2010-01-05 15:30:00,87.15,87.24,86.91,87.17,2630216
2010-01-05 15:45:00,87.21,87.51,87.19,87.24,2690760
2010-01-05 16:00:00,87.2,87.25,86.9,87.07,2852852
2010-01-06 09:45:00,87.08,88.74,86.81,88.18,65588
2010-01-06 10:00:00,88.18,88.36,88.0,88.21,100565
2010-01-06 10:15:00,88.14,88.73,88.1,88.57,168087
2010-01-06 10:30:00,88.52,88.64,88.07,88.6,218663
2010-01-06 10:45:00,88.46,88.59,88.15,88.25,248744
2010-01-06 11:00:00,88.18,88.34,88.11,88.18,283362
2010-01-06 11:15:00,88.25,88.7,88.12,88.68,298362
2010-01-06 11:30:00,88.59,88.66,88.318,88.355,310403
2010-01-06 11:45:00,88.38,88.45,88.18,88.43,333143
2010-01-06 12:00:00,88.46,88.64,88.36,88.52,357743
2010-01-06 12:15:00,88.57,88.88,88.41,88.61,1451981
2010-01-06 12:30:00,88.61,88.78,88.52,88.53,1476658
2010-01-06 12:45:00,88.6368,88.77,88.59,88.67,1496950
2010-01-06 13:00:00,88.7,89.04,88.67,88.98,1510115
2010-01-06 13:15:00,88.98,89.19,88.62,88.7,1566761
2010-01-06 13:30:00,88.69,89.02,88.64,88.99,1596062
2010-01-06 13:45:00,89.02,89.26,88.84,89.205,1625916
2010-01-06 14:00:00,89.19,89.19,88.73,88.95,1666745
2010-01-06 14:15:00,88.88,89.33,88.85,89.1001,1710438
2010-01-06 14:30:00,89.19,89.46,89.1,89.45,1750314
2010-01-06 14:45:00,89.4,90.16,89.4,89.94,1808868
2010-01-06 15:00:00,89.95,90.0,89.815,89.9264,1844509
2010-01-06 15:15:00,89.86,89.91,89.19,89.38,1888325
2010-01-06 15:30:00,89.37,89.39,89.15,89.25,1912506
2010-01-06 15:45:00,89.27,89.34,88.74,88.76,1961308
2010-01-06 16:00:00,88.73,88.98,88.59,88.87,2064547
2010-01-07 09:45:00,101.34,101.73,99.48,100.02,1076559
2010-01-07 10:00:00,100.109,101.85,100.03,101.04,1728673
2010-01-07 10:15:00,100.96,101.05,100.31,100.57,2063879
2010-01-07 10:30:00,100.6,100.75,100.14,100.57,2358099
2010-01-07 10:45:00,100.59,100.74,100.05,100.49,2590369
2010-01-07 11:00:00,100.5,100.59,99.76,100.41,2804838
2010-01-07 11:15:00,100.418,100.61,99.68,99.7405,2900210
2010-01-07 11:30:00,99.74,99.81,98.82,98.9,3072854
2010-01-07 11:45:00,98.9,99.2,98.7,98.76,3192788
2010-01-07 12:00:00,98.75,98.85,98.41,98.55,3272368
2010-01-07 12:15:00,98.55,98.78,98.13,98.22,3407545
2010-01-07 12:30:00,98.17,98.27,97.7,97.71,3483200
2010-01-07 12:45:00,97.71,98.42,97.71,98.37,3567081
2010-01-07 13:00:00,98.311,98.35,97.77,97.77,3600449
2010-01-07 13:15:00,97.77,98.13,97.64,97.7,4743119
2010-01-07 13:30:00,97.7,97.7,97.15,97.22,4843301
2010-01-07 13:45:00,97.2,97.26,96.46,96.58,4941391
2010-01-07 14:00:00,96.53,96.71,96.1,96.15,5044180
2010-01-07 14:15:00,96.15,96.9,96.14,96.8375,5156011
2010-01-07 14:30:00,96.81,97.17,96.63,96.9,5246195
2010-01-07 14:45:00,96.9,98.31,96.82,98.16,5763894
2010-01-07 15:00:00,98.15,98.85,98.15,98.58,5924242
2010-01-07 15:15:00,98.58,98.635,97.93,98.43,6183721
2010-01-07 15:30:00,98.42,98.98,98.32,98.915,6326414
2010-01-07 15:45:00,98.93,99.2,98.86,99.16,6562406
2010-01-07 16:00:00,99.15,99.41,98.9,99.17,6969804
2010-01-08 09:45:00,98.4,98.85,97.57,98.75,118269
2010-01-08 10:00:00,98.66,99.3,98.34,99.19,208863
2010-01-08 10:15:00,99.23,100.28,99.12,99.58,363554
2010-01-08 10:30:00,99.57,100.0,99.46,99.57,431849
2010-01-08 10:45:00,99.64,100.42,99.6,100.09,3750226
2010-01-08 11:00:00,100.0501,100.0501,98.82,98.9,3809002
2010-01-08 11:15:00,98.84,98.84,98.3601,98.74,3865199
2010-01-08 11:30:00,98.77,99.24,98.76,99.24,3897861
2010-01-08 11:45:00,99.27,99.91,99.27,99.7,3944001
2010-01-08 12:00:00,99.76,99.942,99.28,99.37,3971967
2010-01-08 12:15:00,99.38,99.67,99.38,99.64,4002167
2010-01-08 12:30:00,99.65,99.8,99.65,99.67,4014994
2010-01-08 12:45:00,99.65,99.77,99.59,99.77,4035571
2010-01-08 13:00:00,99.74,99.97,99.59,99.88,4058669
2010-01-08 13:15:00,99.95,100.06,99.89,100.02,4091737
2010-01-08 13:30:00,100.06,100.09,99.88,99.91,4118299
2010-01-08 13:45:00,99.93,100.25,99.9,99.98,4154623
2010-01-08 14:00:00,100.0,100.0,99.58,99.62,4184069
2010-01-08 14:15:00,99.6099,99.66,99.39,99.48,4227816
2010-01-08 14:30:00,99.48,99.49,99.31,99.45,4258669
