dt,open,high,low,close,volume
2010-01-04 09:45:00,42.74,42.75,42.51,42.5719,10398
2010-01-04 10:00:00,42.6,42.74,42.58,42.6,42010
2010-01-04 10:15:00,42.6,42.76,42.57,42.61,52055
2010-01-04 10:30:00,42.62,42.77,42.6,42.77,59055
2010-01-04 10:45:00,42.78,42.82,42.78,42.8,64848
2010-01-04 11:00:00,42.8,42.85,42.79,42.805,81331
2010-01-04 11:15:00,42.82,42.93,42.81,42.93,85117
2010-01-04 11:30:00,42.91,42.97,42.91,42.96,88917
2010-01-04 11:45:00,42.97,43.06,42.97,43.01,97718
2010-01-04 12:00:00,43.01,43.06,42.97,43.02,107467
2010-01-04 12:15:00,43.02,43.02,42.94,42.96,113062
2010-01-04 12:30:00,42.97,42.97,42.9,42.9,117162
2010-01-04 12:45:00,42.89,42.925,42.88,42.88,122082
2010-01-04 13:00:00,42.89,42.93,42.855,42.87,125973
2010-01-04 13:15:00,42.87,42.91,42.87,42.9,129385
2010-01-04 13:30:00,42.89,42.89,42.8,42.81,139085
2010-01-04 13:45:00,42.81,42.81,42.74,42.75,141885
2010-01-04 14:00:00,42.76,42.77,42.69,42.69,146687
2010-01-04 14:15:00,42.68,42.69,42.66,42.67,151536
2010-01-04 14:30:00,42.68,42.69,42.64,42.68,157501
2010-01-04 14:45:00,42.69,42.72,42.675,42.7,166181
2010-01-04 15:00:00,42.71,42.75,42.68,42.68,174212
2010-01-04 15:15:00,42.68,42.78,42.68,42.74,201074
2010-01-04 15:30:00,42.72,42.77,42.71,42.74,209234
2010-01-04 15:45:00,42.74,42.81,42.73,42.76,233330
2010-01-04 16:00:00,42.77,42.86,42.75,42.83,256121
2010-01-05 09:45:00,42.63,42.81,42.6,42.65,10025
2010-01-05 10:00:00,42.65,42.65,42.5,42.5,16325
2010-01-05 10:15:00,42.46,42.63,42.44,42.59,28527
2010-01-05 10:30:00,42.6199,42.81,42.59,42.8,34407
2010-01-05 10:45:00,42.79,42.89,42.751,42.87,47706
2010-01-05 11:00:00,42.91,42.945,42.89,42.91,51606
2010-01-05 11:15:00,42.89,43.01,42.87,42.93,58711
2010-01-05 11:30:00,42.94,42.94,42.79,42.79,65011
2010-01-05 11:45:00,42.8,42.8,42.71,42.75,69018
2010-01-05 12:00:00,42.75,42.755,42.71,42.71,74418
2010-01-05 12:15:00,42.72,42.74,42.7,42.73,81518
2010-01-05 12:30:00,42.711,42.73,42.68,42.685,89418
2010-01-05 12:45:00,42.68,42.68,42.62,42.65,99812
2010-01-05 13:00:00,42.66,42.66,42.61,42.62,106328
2010-01-05 13:15:00,42.6101,42.62,42.54,42.55,126028
2010-01-05 13:30:00,42.55,42.61,42.49,42.61,136571
2010-01-05 13:45:00,42.59,42.71,42.59,42.68,155803
2010-01-05 14:00:00,42.66,42.72,42.56,42.59,169738
2010-01-05 14:15:00,42.6,42.66,42.58,42.62,185640
2010-01-05 14:30:00,42.61,42.66,42.55,42.62,223448
2010-01-05 14:45:00,42.62,42.71,42.601,42.6401,241400
2010-01-05 15:00:00,42.65,42.74,42.63,42.74,252936
2010-01-05 15:15:00,42.74,42.81,42.72,42.78,271276
2010-01-05 15:30:00,42.79,42.91,42.79,42.9,283499
2010-01-05 15:45:00,42.8901,42.91,42.79,42.8,315393
2010-01-05 16:00:00,42.79,42.88,42.77,42.84,365879
2010-01-06 09:45:00,42.84,42.91,42.62,42.87,23215
2010-01-06 10:00:00,42.86,42.99,42.86,42.951,29862
2010-01-06 10:15:00,42.95,43.07,42.83,43.05,63862
2010-01-06 10:30:00,43.0499,43.12,43.03,43.05,74762
2010-01-06 10:45:00,43.04,43.08,42.85,42.96,102952
2010-01-06 11:00:00,42.97,43.06,42.93,43.02,117266
2010-01-06 11:15:00,43.09,43.16,43.07,43.07,134471
2010-01-06 11:30:00,43.1,43.17,43.1,43.13,138456
2010-01-06 11:45:00,43.1,43.14,43.04,43.06,146252
2010-01-06 12:00:00,43.08,43.08,43.02,43.04,153252
2010-01-06 12:15:00,43.06,43.06,42.92,42.95,174913
2010-01-06 12:30:00,42.96,43.03,42.9,42.99,200229
2010-01-06 12:45:00,42.96,43.05,42.96,42.995,247734
2010-01-06 13:00:00,42.99,43.0594,42.96,43.0594,324796
2010-01-06 13:15:00,43.06,43.09,42.94,43.0,368396
