dt,open,high,low,close,volume
2010-01-04 09:45:00,29.7,29.89,29.5,29.73,669563
2010-01-04 10:00:00,29.73,29.84,29.64,29.73,1142717
2010-01-04 10:15:00,29.74,29.79,29.66,29.7805,1593178
2010-01-04 10:30:00,29.79,29.8,29.66,29.7401,2106424
2010-01-04 10:45:00,29.7475,29.99,29.72,29.98,2910979
2010-01-04 11:00:00,29.98,30.16,29.86,29.86,3472928
2010-01-04 11:15:00,29.87,30.095,29.87,30.079,3666390
2010-01-04 11:30:00,30.06,30.13,29.97,30.0,3922887
2010-01-04 11:45:00,30.0,30.07,29.97,30.065,4168046
2010-01-04 12:00:00,30.05,30.06,29.97,29.9712,4328378
2010-01-04 12:15:00,29.98,30.0,29.91,29.98,4504057
2010-01-04 12:30:00,29.97,30.0,29.94,29.9925,4598536
2010-01-04 12:45:00,29.99,30.04,29.97,29.99,4739843
2010-01-04 13:00:00,29.99,30.0,29.98,29.9929,4850731
2010-01-04 13:15:00,29.995,30.015,29.96,30.01,4978121
2010-01-04 13:30:00,30.01,30.025,29.96,29.99,5174160
2010-01-04 13:45:00,29.9905,30.01,29.95,29.98,5293766
2010-01-04 14:00:00,29.99,30.06,29.92,29.98,5674121
2010-01-04 14:15:00,29.975,30.13,29.95,30.13,5900997
2010-01-04 14:30:00,30.1288,30.25,30.03,30.24,6316655
2010-01-04 14:45:00,30.25,30.37,30.11,30.34,6895227
2010-01-04 15:00:00,30.33,30.45,30.28,30.345,7422522
2010-01-04 15:15:00,30.3425,30.44,30.29,30.385,7831361
2010-01-04 15:30:00,30.3801,30.43,30.32,30.39,8216576
2010-01-04 15:45:00,30.39,30.49,30.37,30.43,8852311
2010-01-04 16:00:00,30.43,30.48,30.38,30.41,9911218
2010-01-05 09:45:00,30.78,30.78,30.06,30.08,771713
2010-01-05 10:00:00,30.0718,30.519,30.07,30.31,1356618
2010-01-05 10:15:00,30.3,30.68,30.215,30.66,1937907
2010-01-05 10:30:00,30.65,30.83,30.55,30.73,2661560
2010-01-05 10:45:00,30.74,30.98,30.665,30.905,3150099
2010-01-05 11:00:00,30.9,30.99,30.84,30.8901,3430527
2010-01-05 11:15:00,30.89,31.04,30.75,30.81,3936782
2010-01-05 11:30:00,30.8,30.85,30.64,30.65,4583424
