dt,open,high,low,close,volume
2010-01-04 09:45:00,41.7,41.7175,40.61,40.7,173649
2010-01-04 10:00:00,40.7,40.94,40.68,40.93,312183
2010-01-04 10:15:00,40.98,41.04,40.71,40.84,347277
2010-01-04 10:30:00,40.79,40.84,40.71,40.8,368560
2010-01-04 10:45:00,40.81,40.9816,40.74,40.9816,422790
2010-01-04 11:00:00,40.99,41.03,40.92,40.97,474561
2010-01-04 11:15:00,41.0,41.35,41.0,41.32,599065
2010-01-04 11:30:00,41.31,41.61,41.3,41.61,707523
2010-01-04 11:45:00,41.62,41.76,41.6,41.72,747957
2010-01-04 12:00:00,41.69,41.705,41.45,41.45,772704
2010-01-04 12:15:00,41.45,41.45,41.33,41.39,794581
2010-01-04 12:30:00,41.41,41.47,41.38,41.42,812509
2010-01-04 12:45:00,41.42,41.44,41.29,41.32,859376
2010-01-04 13:00:00,41.31,41.31,41.24,41.27,879060
2010-01-04 13:15:00,41.26,41.3,41.24,41.27,894960
2010-01-04 13:30:00,41.27,41.36,41.26,41.31,904654
2010-01-04 13:45:00,41.32,41.35,41.27,41.35,919225
2010-01-04 14:00:00,41.34,41.42,41.25,41.27,937088
2010-01-04 14:15:00,41.2725,41.37,41.22,41.35,999131
2010-01-04 14:30:00,41.36,41.55,41.35,41.54,1020928
2010-01-04 14:45:00,41.54,41.65,41.52,41.65,1039538
2010-01-04 15:00:00,41.65,41.75,41.64,41.71,1075952
2010-01-04 15:15:00,41.7178,41.83,41.71,41.82,1115531
2010-01-04 15:30:00,41.82,41.84,41.79,41.8,1172155
2010-01-04 15:45:00,41.795,41.86,41.77,41.85,1214447
2010-01-04 16:00:00,41.84,41.91,41.82,41.9,1298520
2010-01-05 09:45:00,41.77,42.09,41.77,42.08,28857
2010-01-05 10:00:00,42.08,42.14,41.93,41.96,50806
2010-01-05 10:15:00,41.92,42.11,41.9,41.95,82147
2010-01-05 10:30:00,41.96,42.13,41.9,42.05,130970
2010-01-05 10:45:00,42.05,42.18,41.99,42.17,187366
2010-01-05 11:00:00,42.17,42.57,42.17,42.57,237257
2010-01-05 11:15:00,42.57,42.84,42.55,42.69,309626
2010-01-05 11:30:00,42.6675,42.69,42.53,42.55,347586
2010-01-05 11:45:00,42.55,42.66,42.41,42.61,451045
2010-01-05 12:00:00,42.6,42.78,42.53,42.78,496776
2010-01-05 12:15:00,42.78,42.87,42.62,42.72,560305
2010-01-05 12:30:00,42.72,43.09,42.71,43.07,619591
2010-01-05 12:45:00,43.08,43.48,43.03,43.42,697085
2010-01-05 13:00:00,43.4189,43.7,43.39,43.69,733417
2010-01-05 13:15:00,43.68,43.73,43.58,43.655,804369
2010-01-05 13:30:00,43.655,43.85,43.62,43.84,852084
2010-01-05 13:45:00,43.85,43.96,43.71,43.9425,907786
2010-01-05 14:00:00,43.92,43.92,43.7,43.7,991699
2010-01-05 14:15:00,43.69,43.76,43.66,43.73,1047193
2010-01-05 14:30:00,43.73,43.74,43.68,43.73,1078907
2010-01-05 14:45:00,43.74,43.74,43.53,43.54,1154830
2010-01-05 15:00:00,43.54,43.72,43.54,43.7,1175800
2010-01-05 15:15:00,43.69,43.79,43.69,43.79,1205664
2010-01-05 15:30:00,43.78,43.785,43.57,43.575,1255408
2010-01-05 15:45:00,43.575,43.6,43.55,43.595,1310903
2010-01-05 16:00:00,43.6,43.72,43.56,43.63,1437180
2010-01-06 09:45:00,43.75,44.55,43.75,44.54,58014
2010-01-06 10:00:00,44.54,44.545,44.11,44.23,90514
2010-01-06 10:15:00,44.22,44.45,44.115,44.31,158567
2010-01-06 10:30:00,44.3325,44.39,44.17,44.19,184667
2010-01-06 10:45:00,44.19,44.19,43.98,44.09,237466
2010-01-06 11:00:00,44.09,44.1,43.92,44.09,265818
2010-01-06 11:15:00,44.1,44.13,44.05,44.09,280897
2010-01-06 11:30:00,44.09,44.14,44.04,44.081,400902
2010-01-06 11:45:00,44.0978,44.12,44.08,44.1,458298
2010-01-06 12:00:00,44.1,44.11,44.08,44.1,585124
2010-01-06 12:15:00,44.1,44.22,44.1,44.11,599824
2010-01-06 12:30:00,44.12,44.17,44.1,44.14,608499
2010-01-06 12:45:00,44.1499,44.22,44.14,44.22,641121
2010-01-06 13:00:00,44.2,44.22,44.14,44.19,660893
2010-01-06 13:15:00,44.2,44.26,44.1,44.1,698152
2010-01-06 13:30:00,44.1,44.14,44.1,44.11,716561
2010-01-06 13:45:00,44.11,44.17,44.1,44.13,746295
2010-01-06 14:00:00,44.12,44.31,44.12,44.31,819674
2010-01-06 14:15:00,44.32,44.47,44.32,44.36,871013
2010-01-06 14:30:00,44.36,44.39,44.25,44.37,902613
2010-01-06 14:45:00,44.37,44.45,44.36,44.41,933753
2010-01-06 15:00:00,44.41,44.61,44.4,44.505,988122
2010-01-06 15:15:00,44.5,44.52,44.4,44.44,1029632
2010-01-06 15:30:00,44.44,44.55,44.4,44.44,1095532
2010-01-06 15:45:00,44.43,44.44,44.11,44.12,1162478
2010-01-06 16:00:00,44.11,44.3,44.1,44.26,1303830
2010-01-07 09:45:00,44.16,44.19,43.88,44.06,33975
2010-01-07 10:00:00,44.04,44.23,44.04,44.205,50329
2010-01-07 10:15:00,44.21,44.21,44.08,44.09,82529
2010-01-07 10:30:00,44.09,44.1,43.97,43.98,99821
2010-01-07 10:45:00,43.9871,44.03,43.97,44.0,120363
2010-01-07 11:00:00,43.995,44.03,43.936,44.02,144338
2010-01-07 11:15:00,44.02,44.12,43.95,44.09,180170
2010-01-07 11:30:00,44.09,44.09,44.01,44.04,210024
2010-01-07 11:45:00,44.05,44.14,44.02,44.115,241942
2010-01-07 12:00:00,44.12,44.205,44.11,44.13,259114
2010-01-07 12:15:00,44.13,44.15,43.95,43.95,278709
2010-01-07 12:30:00,43.94,43.95,43.91,43.93,289809
2010-01-07 12:45:00,43.94,43.94,43.76,43.77,314621
2010-01-07 13:00:00,43.77,43.8,43.65,43.66,339769
2010-01-07 13:15:00,43.65,43.73,43.64,43.73,350255
2010-01-07 13:30:00,43.73,43.8,43.72,43.795,363355
2010-01-07 13:45:00,43.8,43.97,43.8,43.97,375745
2010-01-07 14:00:00,43.97,44.01,43.95,44.01,387697
2010-01-07 14:15:00,44.0,44.01,43.9601,44.0,402055
2010-01-07 14:30:00,43.995,44.0,43.87,43.88,417381
2010-01-07 14:45:00,43.89,43.97,43.81,43.81,438085
2010-01-07 15:00:00,43.81,43.85,43.78,43.84,456902
2010-01-07 15:15:00,43.84,43.88,43.71,43.85,480762
2010-01-07 15:30:00,43.84,43.95,43.83,43.88,498962
2010-01-07 15:45:00,43.89,43.98,43.89,43.97,532955
2010-01-07 16:00:00,43.97,43.995,43.9,43.9,628589
2010-01-08 09:45:00,43.96,43.96,43.46,43.65,16200
2010-01-08 10:00:00,43.62,43.7,43.58,43.68,32953
2010-01-08 10:15:00,43.69,43.72,43.54,43.55,52533
2010-01-08 10:30:00,43.5662,43.65,43.47,43.48,66692
2010-01-08 10:45:00,43.48,43.485,43.33,43.34,84152
2010-01-08 11:00:00,43.36,43.49,43.36,43.48,93252
2010-01-08 11:15:00,43.47,43.49,43.33,43.33,105572
2010-01-08 11:30:00,43.33,43.56,43.33,43.54,131271
2010-01-08 11:45:00,43.54,43.55,43.5,43.55,139771
2010-01-08 12:00:00,43.55,43.66,43.55,43.66,158245
2010-01-08 12:15:00,43.65,43.655,43.625,43.625,164545
2010-01-08 12:30:00,43.62,43.65,43.6,43.6225,175064
2010-01-08 12:45:00,43.6325,43.65,43.54,43.54,200978
2010-01-08 13:00:00,43.52,43.54,43.48,43.5,216492
2010-01-08 13:15:00,43.5,43.56,43.5,43.535,226720
2010-01-08 13:30:00,43.54,43.59,43.47,43.5,248720
2010-01-08 13:45:00,43.5,43.63,43.49,43.545,272198
2010-01-08 14:00:00,43.54,43.56,43.46,43.46,281283
2010-01-08 14:15:00,43.45,43.48,43.38,43.46,295619
2010-01-08 14:30:00,43.46,43.51,43.41,43.43,305619
2010-01-08 14:45:00,43.43,43.44,43.34,43.34,321758
2010-01-08 15:00:00,43.34,43.34,43.21,43.23,339595
2010-01-08 15:15:00,43.23,43.39,43.22,43.37,360991
2010-01-08 15:30:00,43.37,43.53,43.36,43.51,387857
2010-01-08 15:45:00,43.52,43.79,43.52,43.76,438179
2010-01-08 16:00:00,43.76,43.82,43.68,43.74,523159
2010-01-11 09:45:00,45.46,46.0,44.53,44.955,191296
2010-01-11 10:00:00,44.96,45.13,44.9,45.09,294862
2010-01-11 10:15:00,45.09,45.43,45.03,45.29,345495
2010-01-11 10:30:00,45.3,45.37,45.24,45.25,376138
2010-01-11 10:45:00,45.25,45.33,45.16,45.305,436310
2010-01-11 11:00:00,45.3,45.47,45.27,45.44,467800
2010-01-11 11:15:00,45.4495,45.55,45.43,45.495,558928
2010-01-11 11:30:00,45.49,45.77,45.49,45.77,588428
2010-01-11 11:45:00,45.78,45.91,45.71,45.88,630318
2010-01-11 12:00:00,45.86,45.89,45.7,45.78,673227
2010-01-11 12:15:00,45.75,45.82,45.73,45.82,681063
2010-01-11 12:30:00,45.82,46.0,45.8,45.97,706563
2010-01-11 12:45:00,45.98,46.01,45.87,45.9,782319
2010-01-11 13:00:00,45.87,45.9,45.71,45.79,828471
2010-01-11 13:15:00,45.78,45.81,45.72,45.755,844470
2010-01-11 13:30:00,45.76,45.81,45.72,45.78,856970
2010-01-11 13:45:00,45.79,45.83,45.75,45.75,880570
2010-01-11 14:00:00,45.76,45.79,45.67,45.685,937356
2010-01-11 14:15:00,45.68,45.68,45.57,45.65,961806
