dt,open,high,low,close,volume
2010-01-04 09:45:00,43.81,44.05,43.55,43.67,228467
2010-01-04 10:00:00,43.67,43.95,43.65,43.91,359480
2010-01-04 10:15:00,43.9,44.15,43.83,44.15,484498
2010-01-04 10:30:00,44.16,44.36,44.12,44.335,585082
2010-01-04 10:45:00,44.34,44.38,44.05,44.25,708381
2010-01-04 11:00:00,44.27,44.33,44.18,44.3101,806785
2010-01-04 11:15:00,44.33,44.62,44.32,44.6,893505
2010-01-04 11:30:00,44.61,44.65,44.51,44.6,977649
2010-01-04 11:45:00,44.6,44.69,44.57,44.6175,1058625
2010-01-04 12:00:00,44.62,44.78,44.5,44.6601,1141773
2010-01-04 12:15:00,44.68,44.76,44.625,44.645,1205228
2010-01-04 12:30:00,44.64,44.6401,44.47,44.54,1252791
2010-01-04 12:45:00,44.55,44.6025,44.52,44.55,1279578
2010-01-04 13:00:00,44.54,44.62,44.51,44.59,1341759
2010-01-04 13:15:00,44.59,44.64,44.5,44.54,1409163
2010-01-04 13:30:00,44.54,44.64,44.53,44.6,1454829
2010-01-04 13:45:00,44.59,44.59,44.36,44.37,1505186
2010-01-04 14:00:00,44.36,44.4,44.27,44.31,1563161
2010-01-04 14:15:00,44.31,44.43,44.3,44.39,1597389
2010-01-04 14:30:00,44.39,44.39,44.31,44.38,1650056
2010-01-04 14:45:00,44.38,44.47,44.37,44.456,1727848
2010-01-04 15:00:00,44.45,44.49,44.4,44.42,1830417
2010-01-04 15:15:00,44.43,44.61,44.41,44.48,2005366
2010-01-04 15:30:00,44.48,44.57,44.44,44.53,2110232
2010-01-04 15:45:00,44.5299,44.56,44.36,44.41,2334588
2010-01-04 16:00:00,44.4,44.61,44.4,44.46,2983074
2010-01-05 09:45:00,44.52,45.0,44.48,44.7,181722
2010-01-05 10:00:00,44.7,44.71,44.34,44.36,412811
2010-01-05 10:15:00,44.36,44.48,44.29,44.45,678245
2010-01-05 10:30:00,44.45,44.5,44.435,44.49,870595
2010-01-05 10:45:00,44.485,44.5,44.37,44.49,1030213
2010-01-05 11:00:00,44.5,44.5,44.37,44.41,1203031
2010-01-05 11:15:00,44.42,44.51,44.385,44.485,1307611
2010-01-05 11:30:00,44.475,44.48,44.33,44.39,1415085
2010-01-05 11:45:00,44.39,44.41,44.32,44.41,1520195
2010-01-05 12:00:00,44.4,44.42,44.37,44.39,1606254
2010-01-05 12:15:00,44.4,44.52,44.39,44.44,1703913
2010-01-05 12:30:00,44.44,44.4405,44.35,44.3858,1758083
2010-01-05 12:45:00,44.39,44.43,44.25,44.42,1856856
2010-01-05 13:00:00,44.44,44.46,44.35,44.4,1929224
2010-01-05 13:15:00,44.4,44.42,44.31,44.3175,2007511
2010-01-05 13:30:00,44.32,44.34,44.21,44.25,2100786
2010-01-05 13:45:00,44.25,44.31,44.19,44.28,2184645
2010-01-05 14:00:00,44.27,44.37,44.22,44.23,2248114
2010-01-05 14:15:00,44.23,44.26,44.11,44.1299,2318327
2010-01-05 14:30:00,44.11,44.14,44.02,44.1,2500231
2010-01-05 14:45:00,44.1,44.21,44.1,44.17,2560667
2010-01-05 15:00:00,44.17,44.24,44.13,44.17,2713392
2010-01-05 15:15:00,44.17,44.22,44.14,44.18,2839107
2010-01-05 15:30:00,44.18,44.32,44.14,44.26,3026777
2010-01-05 15:45:00,44.27,44.55,44.27,44.44,3276706
2010-01-05 16:00:00,44.45,44.6,44.44,44.52,3724703
2010-01-06 09:45:00,44.4,44.67,44.26,44.3567,151160
2010-01-06 10:00:00,44.34,44.52,44.31,44.4321,298741
2010-01-06 10:15:00,44.42,44.47,44.31,44.4,385829
2010-01-06 10:30:00,44.4,44.53,44.36,44.5,493250
2010-01-06 10:45:00,44.49,44.51,44.39,44.4,579169
2010-01-06 11:00:00,44.4,44.43,44.32,44.39,660079
2010-01-06 11:15:00,44.38,44.4,44.2,44.23,722030
2010-01-06 11:30:00,44.24,44.315,43.99,44.1,1161870
2010-01-06 11:45:00,44.1,44.26,44.07,44.22,1276903
2010-01-06 12:00:00,44.22,44.27,44.13,44.2122,1382021
2010-01-06 12:15:00,44.23,44.36,44.11,44.13,1493245
2010-01-06 12:30:00,44.14,44.24,44.03,44.05,1592008
2010-01-06 12:45:00,44.05,44.1,43.85,43.86,1752592
2010-01-06 13:00:00,43.85,43.8899,43.7,43.74,1995985
2010-01-06 13:15:00,43.74,43.83,43.74,43.82,2086038
2010-01-06 13:30:00,43.82,43.8722,43.78,43.81,2166838
2010-01-06 13:45:00,43.81,43.88,43.75,43.81,2354298
2010-01-06 14:00:00,43.81,43.91,43.81,43.87,2431938
2010-01-06 14:15:00,43.87,44.06,43.86,43.95,2516638
2010-01-06 14:30:00,43.93,44.0,43.86,43.93,2610607
2010-01-06 14:45:00,43.92,43.97,43.84,43.88,2729451
2010-01-06 15:00:00,43.88,43.936,43.82,43.93,2879863
2010-01-06 15:15:00,43.92,43.92,43.695,43.765,3072021
2010-01-06 15:30:00,43.78,43.83,43.66,43.72,3256463
2010-01-06 15:45:00,43.72,43.78,43.68,43.73,3550231
2010-01-06 16:00:00,43.73,43.81,43.65,43.79,3958059
2010-01-07 09:45:00,44.345,44.49,44.11,44.36,362124
2010-01-07 10:00:00,44.35,44.49,44.0,44.0716,735019
2010-01-07 10:15:00,44.08,44.25,43.98,44.23,923191
2010-01-07 10:30:00,44.23,44.26,44.08,44.0999,1228148
2010-01-07 10:45:00,44.09,44.24,44.0606,44.2,1473059
2010-01-07 11:00:00,44.21,44.58,44.21,44.5795,1680378
2010-01-07 11:15:00,44.57,44.64,44.41,44.45,1788748
2010-01-07 11:30:00,44.44,44.5,44.4,44.47,1980324
2010-01-07 11:45:00,44.48,44.59,44.411,44.51,2126976
2010-01-07 12:00:00,44.5,44.62,44.5,44.6,2261516
2010-01-07 12:15:00,44.59,44.64,44.47,44.63,2397441
2010-01-07 12:30:00,44.621,44.65,44.49,44.49,2530771
2010-01-07 12:45:00,44.5,44.86,44.5,44.69,2729177
2010-01-07 13:00:00,44.68,44.72,44.43,44.46,2870774
2010-01-07 13:15:00,44.45,44.51,44.25,44.37,2936777
2010-01-07 13:30:00,44.38,44.46,44.38,44.44,2983955
2010-01-07 13:45:00,44.44,44.59,44.42,44.56,3258213
2010-01-07 14:00:00,44.57,44.6,44.5,44.52,3360344
2010-01-07 14:15:00,44.54,44.57,44.46,44.46,3423195
2010-01-07 14:30:00,44.46,44.54,44.41,44.53,3517754
