dt,open,high,low,close,volume
2010-01-04 09:45:00,16.02,16.02,15.89,15.965,93125
2010-01-04 10:00:00,15.98,16.03,15.975,16.0,119303
2010-01-04 10:15:00,16.0,16.07,16.0,16.0599,163246
2010-01-04 10:30:00,16.05,16.08,16.03,16.07,195561
2010-01-04 10:45:00,16.08,16.13,16.07,16.13,231617
2010-01-04 11:00:00,16.12,16.13,16.1,16.1,266675
2010-01-04 11:15:00,16.1,16.17,16.09,16.15,371013
2010-01-04 11:30:00,16.155,16.16,16.13,16.13,473622
2010-01-04 11:45:00,16.13,16.14,16.12,16.13,504334
2010-01-04 12:00:00,16.13,16.135,16.11,16.11,530622
2010-01-04 12:15:00,16.11,16.115,16.09,16.11,555192
2010-01-04 12:30:00,16.1,16.11,16.08,16.09,589387
2010-01-04 12:45:00,16.08,16.09,16.05,16.08,656864
2010-01-04 13:00:00,16.07,16.08,16.06,16.06,681339
2010-01-04 13:15:00,16.07,16.09,16.06,16.06,716595
2010-01-04 13:30:00,16.06,16.06,16.02,16.02,746994
2010-01-04 13:45:00,16.02,16.03,16.02,16.02,759525
2010-01-04 14:00:00,16.02,16.03,16.01,16.02,824559
2010-01-04 14:15:00,16.01,16.02,16.0,16.0,864262
2010-01-04 14:30:00,16.0,16.05,16.0,16.05,883455
2010-01-04 14:45:00,16.05,16.07,16.04,16.07,909802
2010-01-04 15:00:00,16.065,16.11,16.06,16.1,953835
2010-01-04 15:15:00,16.1,16.11,16.1,16.11,972749
2010-01-04 15:30:00,16.1,16.13,16.1,16.11,1055066
2010-01-04 15:45:00,16.115,16.12,16.08,16.09,1162825
2010-01-04 16:00:00,16.09,16.11,16.085,16.1,1348469
2010-01-05 09:45:00,16.08,16.13,15.99,15.99,56993
2010-01-05 10:00:00,15.99,16.0,15.96,15.9925,108949
2010-01-05 10:15:00,15.99,16.04,15.98,16.02,241966
2010-01-05 10:30:00,16.03,16.07,16.02,16.04,275291
2010-01-05 10:45:00,16.04,16.04,15.99,16.03,307557
2010-01-05 11:00:00,16.026,16.04,15.99,16.04,407038
2010-01-05 11:15:00,16.04,16.05,16.03,16.04,430091
2010-01-05 11:30:00,16.03,16.04,15.93,15.935,647718
2010-01-05 11:45:00,15.935,15.945,15.89,15.91,841692
2010-01-05 12:00:00,15.9079,15.92,15.86,15.88,958762
2010-01-05 12:15:00,15.88,15.97,15.88,15.97,1091081
2010-01-05 12:30:00,15.97,16.01,15.97,15.99,1202381
2010-01-05 12:45:00,16.0,16.0,15.99,15.99,1236942
2010-01-05 13:00:00,15.99,15.99,15.96,15.98,1296565
2010-01-05 13:15:00,15.97,15.98,15.96,15.96,1319386
2010-01-05 13:30:00,15.965,15.97,15.9,15.9,1375157
2010-01-05 13:45:00,15.91,15.91,15.87,15.9,1534871
2010-01-05 14:00:00,15.9,15.92,15.9,15.92,1559159
2010-01-05 14:15:00,15.91,15.93,15.89,15.91,1712222
2010-01-05 14:30:00,15.91,15.98,15.91,15.97,1782384
2010-01-05 14:45:00,15.98,15.98,15.92,15.93,1830942
2010-01-05 15:00:00,15.92,15.96,15.92,15.95,1870328
2010-01-05 15:15:00,15.95,15.96,15.95,15.95,1903043
2010-01-05 15:30:00,15.955,15.96,15.95,15.96,1946855
2010-01-05 15:45:00,15.96,16.0,15.93,15.93,2099678
2010-01-05 16:00:00,15.93,15.95,15.92,15.925,2344622
2010-01-06 09:45:00,15.94,15.97,15.72,15.77,45823
2010-01-06 10:00:00,15.78,15.88,15.77,15.87,86648
2010-01-06 10:15:00,15.887,15.887,15.82,15.86,141787
2010-01-06 10:30:00,15.865,15.92,15.86,15.9,262290
2010-01-06 10:45:00,15.89,15.92,15.89,15.91,289367
2010-01-06 11:00:00,15.9111,15.95,15.91,15.95,336361
2010-01-06 11:15:00,15.95,15.95,15.92,15.94,366110
2010-01-06 11:30:00,15.95,15.97,15.93,15.93,402625
2010-01-06 11:45:00,15.94,15.95,15.94,15.95,419457
2010-01-06 12:00:00,15.94,16.0,15.94,16.0,476033
2010-01-06 12:15:00,15.99,16.01,15.99,16.0,608601
2010-01-06 12:30:00,16.0,16.03,15.985,15.9901,700025
2010-01-06 12:45:00,16.0,16.01,15.99,15.99,741208
2010-01-06 13:00:00,16.0,16.01,15.95,15.96,849525
2010-01-06 13:15:00,15.96,15.99,15.955,15.985,867397
2010-01-06 13:30:00,15.99,16.0,15.98,16.0,910771
2010-01-06 13:45:00,16.0,16.02,15.995,16.0185,934387
2010-01-06 14:00:00,16.01,16.02,15.995,16.02,985841
2010-01-06 14:15:00,16.02,16.02,15.99,16.0,1084104
2010-01-06 14:30:00,16.01,16.02,15.99,16.02,1276715
2010-01-06 14:45:00,16.01,16.02,16.0,16.0095,1357380
2010-01-06 15:00:00,16.01,16.01,15.985,16.0,1522639
2010-01-06 15:15:00,16.0,16.01,15.99,16.01,1645155
2010-01-06 15:30:00,16.01,16.01,15.99,16.0,1922533
2010-01-06 15:45:00,15.99,16.17,15.97,16.08,2323176
2010-01-06 16:00:00,16.08,16.15,16.08,16.12,2717100
