dt,open,high,low,close,volume
2010-01-04 09:45:00,49.69,49.81,48.84,49.8,248169
2010-01-04 10:00:00,49.8,50.22,49.74,50.08,419967
2010-01-04 10:15:00,50.1,50.18,49.99,50.14,543757
2010-01-04 10:30:00,50.146,50.32,50.1,50.25,665520
2010-01-04 10:45:00,50.24,50.315,50.08,50.09,781350
2010-01-04 11:00:00,50.11,50.26,50.0105,50.15,879214
2010-01-04 11:15:00,50.15,50.29,50.14,50.275,939651
2010-01-04 11:30:00,50.27,50.29,50.076,50.22,1066674
2010-01-04 11:45:00,50.22,50.41,50.22,50.37,1210304
2010-01-04 12:00:00,50.37,50.38,50.16,50.29,1322063
2010-01-04 12:15:00,50.29,50.39,50.27,50.34,1405519
2010-01-04 12:30:00,50.345,50.42,50.24,50.385,1477308
2010-01-04 12:45:00,50.3875,50.39,50.22,50.245,1594591
2010-01-04 13:00:00,50.22,50.39,50.22,50.39,1661458
2010-01-04 13:15:00,50.39,50.42,50.35,50.41,1718455
2010-01-04 13:30:00,50.41,50.52,50.41,50.495,1828580
2010-01-04 13:45:00,50.48,50.53,50.4,50.53,1932042
2010-01-04 14:00:00,50.52,50.56,50.42,50.52,2028540
2010-01-04 14:15:00,50.52,50.57,50.51,50.555,2102995
2010-01-04 14:30:00,50.555,50.59,50.52,50.58,2225767
2010-01-04 14:45:00,50.58,50.705,50.57,50.69,2338653
2010-01-04 15:00:00,50.698,50.72,50.68,50.6999,2432256
2010-01-04 15:15:00,50.7,50.71,50.64,50.69,2553002
2010-01-04 15:30:00,50.69,50.76,50.68,50.72,2720568
2010-01-04 15:45:00,50.72,50.74,50.62,50.73,2984185
2010-01-04 16:00:00,50.72,50.82,50.72,50.79,3359406
2010-01-05 09:45:00,50.61,50.75,50.43,50.54,176588
2010-01-05 10:00:00,50.55,50.78,50.49,50.59,315465
2010-01-05 10:15:00,50.58,50.85,50.48,50.82,481378
2010-01-05 10:30:00,50.82,50.98,50.7,50.96,595745
2010-01-05 10:45:00,50.96,51.48,50.96,51.47,779016
2010-01-05 11:00:00,51.47,51.69,51.39,51.64,1053040
2010-01-05 11:15:00,51.64,51.66,51.47,51.525,1289323
2010-01-05 11:30:00,51.52,51.6,51.1,51.19,1466031
2010-01-05 11:45:00,51.2,51.3,51.11,51.23,1587348
2010-01-05 12:00:00,51.23,51.36,51.23,51.35,1677243
2010-01-05 12:15:00,51.35,51.59,51.3,51.57,1799620
2010-01-05 12:30:00,51.57,51.86,51.54,51.815,2018899
2010-01-05 12:45:00,51.82,51.82,51.7,51.78,2344683
2010-01-05 13:00:00,51.78,51.93,51.78,51.905,2528578
2010-01-05 13:15:00,51.9005,51.91,51.645,51.68,2655237
2010-01-05 13:30:00,51.68,51.87,51.675,51.79,2729468
2010-01-05 13:45:00,51.8,51.805,51.49,51.7,2817954
2010-01-05 14:00:00,51.7,51.79,51.56,51.63,2868859
2010-01-05 14:15:00,51.62,51.64,51.525,51.56,2942768
2010-01-05 14:30:00,51.5499,51.68,51.5095,51.66,3086703
2010-01-05 14:45:00,51.65,51.65,51.56,51.65,3270328
2010-01-05 15:00:00,51.64,51.68,51.6,51.67,3467159
2010-01-05 15:15:00,51.67,51.8,51.64,51.67,3599786
2010-01-05 15:30:00,51.678,51.73,51.57,51.595,3843347
2010-01-05 15:45:00,51.59,51.61,51.43,51.47,4217507
2010-01-05 16:00:00,51.47,51.67,51.39,51.64,4659963
2010-01-06 09:45:00,51.26,51.74,50.86,50.94,119709
2010-01-06 10:00:00,50.9,51.09,50.82,50.9508,290300
2010-01-06 10:15:00,50.97,51.39,50.88,51.335,450345
2010-01-06 10:30:00,51.32,51.335,51.18,51.1905,637433
2010-01-06 10:45:00,51.19,51.2,50.65,50.84,874372
2010-01-06 11:00:00,50.83,50.98,50.75,50.96,980323
2010-01-06 11:15:00,50.96,50.98,50.77,50.86,1098066
2010-01-06 11:30:00,50.87,51.2,50.74,51.16,1268129
2010-01-06 11:45:00,51.16,51.335,51.095,51.265,1661120
2010-01-06 12:00:00,51.2665,51.32,50.99,51.05,1833251
2010-01-06 12:15:00,51.04,51.06,50.74,50.78,2039095
2010-01-06 12:30:00,50.77,50.91,50.73,50.75,2157624
2010-01-06 12:45:00,50.735,50.88,50.67,50.835,2254979
2010-01-06 13:00:00,50.835,51.07,50.835,51.07,2354034
2010-01-06 13:15:00,51.0501,51.12,50.96,51.11,2481441
2010-01-06 13:30:00,51.1,51.22,51.08,51.22,2572998
2010-01-06 13:45:00,51.22,51.45,51.19,51.4,2705356
2010-01-06 14:00:00,51.385,51.4,51.27,51.33,2768120
2010-01-06 14:15:00,51.34,51.75,51.34,51.59,2928353
2010-01-06 14:30:00,51.57,51.77,51.56,51.72,3018492
2010-01-06 14:45:00,51.74,51.89,51.72,51.8,3131327
2010-01-06 15:00:00,51.79,51.8,51.5,51.5,3240024
2010-01-06 15:15:00,51.51,51.58,51.43,51.47,3402632
2010-01-06 15:30:00,51.47,51.5,51.34,51.38,3574845
2010-01-06 15:45:00,51.38,51.54,51.35,51.4799,3760474
2010-01-06 16:00:00,51.47,51.5,51.32,51.37,4172730
2010-01-07 09:45:00,51.09,51.23,50.79,50.83,84274
2010-01-07 10:00:00,50.81,50.85,50.15,50.22,233397
2010-01-07 10:15:00,50.21,50.68,50.19,50.59,414799
2010-01-07 10:30:00,50.56,50.69,50.39,50.69,523359
2010-01-07 10:45:00,50.72,50.95,50.62,50.8,676406
2010-01-07 11:00:00,50.81,50.86,50.64,50.72,847866
2010-01-07 11:15:00,50.72,50.95,50.68,50.825,914575
2010-01-07 11:30:00,50.8,50.845,50.65,50.65,958063
2010-01-07 11:45:00,50.67,50.79,50.654,50.77,996117
2010-01-07 12:00:00,50.76,50.93,50.735,50.85,1041971
2010-01-07 12:15:00,50.83,50.875,50.75,50.785,1081556
2010-01-07 12:30:00,50.77,50.81,50.53,50.5701,1148473
2010-01-07 12:45:00,50.58,50.77,50.53,50.6,1178114
2010-01-07 13:00:00,50.6,50.71,50.55,50.58,1207726
2010-01-07 13:15:00,50.61,50.66,50.49,50.52,1281775
2010-01-07 13:30:00,50.51,50.72,50.48,50.6019,1377580
2010-01-07 13:45:00,50.62,50.75,50.52,50.55,1425534
