dt,open,high,low,close,volume
2010-01-04 09:45:00,18.0,18.27,17.99,18.165,658801
2010-01-04 10:00:00,18.18,18.36,18.18,18.35,1276114
2010-01-04 10:15:00,18.36,18.41,18.31,18.39,1778240
2010-01-04 10:30:00,18.39,18.51,18.37,18.51,2435835
2010-01-04 10:45:00,18.51,18.53,18.45,18.51,2910620
2010-01-04 11:00:00,18.51,18.52,18.41,18.41,3116696
2010-01-04 11:15:00,18.41,18.42,18.37,18.39,3359054
2010-01-04 11:30:00,18.39,18.43,18.37,18.4,3564773
2010-01-04 11:45:00,18.39,18.43,18.38,18.41,3701142
2010-01-04 12:00:00,18.41,18.43,18.38,18.43,3850202
2010-01-04 12:15:00,18.42,18.43,18.4,18.4,3927306
2010-01-04 12:30:00,18.4,18.43,18.4,18.41,4266136
2010-01-04 12:45:00,18.41,18.44,18.3975,18.41,4416995
2010-01-04 13:00:00,18.41,18.45,18.4,18.45,4586602
2010-01-04 13:15:00,18.45,18.48,18.42,18.4675,4931299
2010-01-04 13:30:00,18.47,18.5,18.46,18.5,5122740
2010-01-04 13:45:00,18.5,18.5,18.43,18.4301,5285970
2010-01-04 14:00:00,18.43,18.5,18.39,18.4,5486265
2010-01-04 14:15:00,18.41,18.42,18.4,18.4101,5576725
2010-01-04 14:30:00,18.42,18.44,18.41,18.435,5754843
2010-01-04 14:45:00,18.43,18.45,18.43,18.4305,5918150
2010-01-04 15:00:00,18.44,18.46,18.43,18.43,6123154
2010-01-04 15:15:00,18.43,18.45,18.42,18.4425,6339427
2010-01-04 15:30:00,18.44,18.45,18.42,18.42,6564339
2010-01-04 15:45:00,18.42,18.43,18.38,18.38,7059321
2010-01-04 16:00:00,18.38,18.41,18.38,18.4,7778594
2010-01-05 09:45:00,18.4,18.44,18.3,18.35,659440
2010-01-05 10:00:00,18.35,18.44,18.35,18.4,912160
2010-01-05 10:15:00,18.4,18.44,18.39,18.39,1111681
2010-01-05 10:30:00,18.39,18.3901,18.34,18.38,1395735
2010-01-05 10:45:00,18.37,18.4202,18.33,18.35,1677847
2010-01-05 11:00:00,18.34,18.38,18.32,18.37,2000557
2010-01-05 11:15:00,18.36,18.38,18.315,18.32,2168691
2010-01-05 11:30:00,18.33,18.33,18.29,18.3,2307504
2010-01-05 11:45:00,18.3,18.31,18.24,18.24,2494985
2010-01-05 12:00:00,18.24,18.26,18.22,18.23,2694721
2010-01-05 12:15:00,18.24,18.25,18.22,18.2201,2811530
2010-01-05 12:30:00,18.22,18.25,18.21,18.24,3098060
2010-01-05 12:45:00,18.24,18.26,18.23,18.25,3246233
2010-01-05 13:00:00,18.255,18.26,18.2,18.2,3348037
2010-01-05 13:15:00,18.21,18.2108,18.2,18.2,3533708
2010-01-05 13:30:00,18.2,18.21,18.16,18.175,3761074
2010-01-05 13:45:00,18.17,18.18,18.14,18.18,4055973
2010-01-05 14:00:00,18.18,18.22,18.17,18.19,4212342
2010-01-05 14:15:00,18.19,18.21,18.18,18.18,4322231
2010-01-05 14:30:00,18.18,18.21,18.16,18.16,4427632
2010-01-05 14:45:00,18.17,18.21,18.16,18.205,4538010
2010-01-05 15:00:00,18.21,18.28,18.2,18.275,4744944
2010-01-05 15:15:00,18.27,18.28,18.26,18.27,4844122
2010-01-05 15:30:00,18.27,18.27,18.26,18.27,4933121
2010-01-05 15:45:00,18.26,18.31,18.26,18.3,5318698
2010-01-05 16:00:00,18.3,18.34,18.29,18.3,6018218
2010-01-06 09:45:00,18.22,18.34,18.14,18.29,367588
2010-01-06 10:00:00,18.29,18.35,18.26,18.3499,745161
2010-01-06 10:15:00,18.34,18.45,18.33,18.37,1019103
2010-01-06 10:30:00,18.37,18.41,18.37,18.37,1312989
2010-01-06 10:45:00,18.37,18.38,18.34,18.375,1466894
2010-01-06 11:00:00,18.37,18.39,18.37,18.39,1550808
2010-01-06 11:15:00,18.38,18.41,18.38,18.41,1679384
2010-01-06 11:30:00,18.41,18.43,18.4,18.4,1766295
2010-01-06 11:45:00,18.4,18.4,18.34,18.36,1862349
2010-01-06 12:00:00,18.36,18.36,18.3,18.3,1958203
2010-01-06 12:15:00,18.3,18.33,18.28,18.3206,2324190
2010-01-06 12:30:00,18.325,18.37,18.32,18.3499,2547123
2010-01-06 12:45:00,18.34,18.37,18.34,18.35,2685944
2010-01-06 13:00:00,18.35,18.4,18.35,18.37,2828519
2010-01-06 13:15:00,18.38,18.39,18.37,18.38,2927224
2010-01-06 13:30:00,18.37,18.39,18.37,18.39,3030542
2010-01-06 13:45:00,18.39,18.39,18.35,18.35,3138201
2010-01-06 14:00:00,18.35,18.36,18.33,18.33,3335954
2010-01-06 14:15:00,18.33,18.37,18.32,18.36,3521827
2010-01-06 14:30:00,18.37,18.37,18.32,18.34,3711211
2010-01-06 14:45:00,18.34,18.46,18.335,18.43,4065078
2010-01-06 15:00:00,18.43,18.43,18.39,18.39,4235056
2010-01-06 15:15:00,18.39,18.39,18.35,18.36,4559887
2010-01-06 15:30:00,18.36,18.38,18.35,18.355,4767721
2010-01-06 15:45:00,18.36,18.41,18.33,18.34,5140682
2010-01-06 16:00:00,18.335,18.38,18.31,18.36,5854574
2010-01-07 09:45:00,18.47,18.47,18.23,18.31,270521
2010-01-07 10:00:00,18.3001,18.32,18.16,18.17,657915
2010-01-07 10:15:00,18.17,18.19,18.13,18.15,927944
2010-01-07 10:30:00,18.15,18.22,18.14,18.22,1257910
2010-01-07 10:45:00,18.22,18.29,18.21,18.26,1592832
2010-01-07 11:00:00,18.26,18.36,18.23,18.26,1892887
2010-01-07 11:15:00,18.25,18.28,18.23,18.23,2416154
2010-01-07 11:30:00,18.24,18.24,18.18,18.2,2615265
2010-01-07 11:45:00,18.21,18.24,18.19,18.22,2829677
2010-01-07 12:00:00,18.22,18.22,18.16,18.18,3023242
2010-01-07 12:15:00,18.17,18.18,18.14,18.15,3442839
2010-01-07 12:30:00,18.14,18.24,18.14,18.23,3952116
2010-01-07 12:45:00,18.234,18.26,18.2,18.22,4257182
2010-01-07 13:00:00,18.22,18.27,18.21,18.23,4429184
2010-01-07 13:15:00,18.23,18.27,18.23,18.26,4646760
2010-01-07 13:30:00,18.26,18.3,18.24,18.29,4824664
2010-01-07 13:45:00,18.3,18.3,18.27,18.28,4925372
2010-01-07 14:00:00,18.29,18.29,18.24,18.24,5016715
2010-01-07 14:15:00,18.24,18.27,18.24,18.265,5085122
2010-01-07 14:30:00,18.27,18.27,18.24,18.265,5181300
2010-01-07 14:45:00,18.27,18.32,18.26,18.32,5318434
2010-01-07 15:00:00,18.32,18.32,18.27,18.29,5558497
2010-01-07 15:15:00,18.29,18.3,18.24,18.28,5805376
2010-01-07 15:30:00,18.28,18.3,18.26,18.27,5952800
2010-01-07 15:45:00,18.28,18.34,18.27,18.31,6347586
2010-01-07 16:00:00,18.32,18.34,18.29,18.34,7058484
2010-01-08 09:45:00,18.25,18.41,18.23,18.25,326139
2010-01-08 10:00:00,18.25,18.29,18.21,18.29,490053
2010-01-08 10:15:00,18.29,18.5,18.28,18.46,1073282
2010-01-08 10:30:00,18.46,18.5,18.39,18.41,1302056
2010-01-08 10:45:00,18.41,18.43,18.37,18.3701,1483585
2010-01-08 11:00:00,18.3709,18.39,18.3281,18.39,1606493
2010-01-08 11:15:00,18.39,18.39,18.35,18.37,1708164
2010-01-08 11:30:00,18.37,18.41,18.365,18.4,1827599
2010-01-08 11:45:00,18.41,18.41,18.39,18.41,1937934
2010-01-08 12:00:00,18.41,18.43,18.39,18.4,2061881
2010-01-08 12:15:00,18.41,18.41,18.39,18.405,2197792
2010-01-08 12:30:00,18.405,18.405,18.35,18.35,2281077
2010-01-08 12:45:00,18.35,18.36,18.34,18.35,2314719
2010-01-08 13:00:00,18.34,18.36,18.31,18.36,2633705
2010-01-08 13:15:00,18.36,18.38,18.31,18.37,2965988
2010-01-08 13:30:00,18.37,18.39,18.32,18.36,3374188
2010-01-08 13:45:00,18.355,18.41,18.34,18.3401,3794802
2010-01-08 14:00:00,18.34,18.35,18.32,18.33,3876374
