dt,open,high,low,close,volume
2010-01-04 09:45:00,5.44,5.56,5.44,5.5,953041
2010-01-04 10:00:00,5.5,5.55,5.49,5.5098,1238767
2010-01-04 10:15:00,5.51,5.51,5.47,5.47,1396728
2010-01-04 10:30:00,5.475,5.48,5.43,5.44,1708423
2010-01-04 10:45:00,5.4405,5.46,5.44,5.46,1849996
2010-01-04 11:00:00,5.46,5.46,5.45,5.45,1925355
2010-01-04 11:15:00,5.453,5.46,5.45,5.45,1970395
2010-01-04 11:30:00,5.45,5.46,5.43,5.432,2259467
2010-01-04 11:45:00,5.439,5.44,5.41,5.419,2346753
2010-01-04 12:00:00,5.412,5.42,5.41,5.41,2407444
2010-01-04 12:15:00,5.41,5.42,5.41,5.42,2449012
2010-01-04 12:30:00,5.42,5.42,5.41,5.41,2516881
2010-01-04 12:45:00,5.41,5.42,5.41,5.42,2582370
2010-01-04 13:00:00,5.41,5.42,5.41,5.41,2630349
2010-01-04 13:15:00,5.42,5.44,5.41,5.43,2810259
2010-01-04 13:30:00,5.4399,5.44,5.43,5.43,2876156
2010-01-04 13:45:00,5.44,5.44,5.41,5.4102,3012021
2010-01-04 14:00:00,5.42,5.4202,5.39,5.4202,3270413
2010-01-04 14:15:00,5.42,5.43,5.42,5.42,3310508
2010-01-04 14:30:00,5.42,5.45,5.42,5.45,3599314
2010-01-04 14:45:00,5.45,5.46,5.44,5.46,3844178
2010-01-04 15:00:00,5.455,5.47,5.42,5.42,3982296
2010-01-04 15:15:00,5.42,5.45,5.42,5.44,4156679
2010-01-04 15:30:00,5.445,5.46,5.4315,5.45,4333192
2010-01-04 15:45:00,5.46,5.47,5.45,5.46,4489154
2010-01-04 16:00:00,5.46,5.48,5.44,5.46,4896688
2010-01-05 09:45:00,5.92,6.08,5.91,6.01,4886617
2010-01-05 10:00:00,6.01,6.085,5.95,5.97,7166231
2010-01-05 10:15:00,5.97,5.99,5.92,5.97,9236589
2010-01-05 10:30:00,5.9705,6.04,5.97,6.02,10521747
2010-01-05 10:45:00,6.01,6.03,5.99,6.0102,11258245
2010-01-05 11:00:00,6.0181,6.05,6.005,6.04,12826393
2010-01-05 11:15:00,6.05,6.16,6.04,6.08,14670081
2010-01-05 11:30:00,6.08,6.08,6.03,6.0511,15390614
2010-01-05 11:45:00,6.05,6.06,5.97,6.03,16042197
2010-01-05 12:00:00,6.03,6.08,6.03,6.061,16383604
2010-01-05 12:15:00,6.065,6.12,6.06,6.08,16881419
2010-01-05 12:30:00,6.09,6.11,6.08,6.08,17181310
2010-01-05 12:45:00,6.08,6.09,6.04,6.05,17540529
2010-01-05 13:00:00,6.06,6.08,6.06,6.0671,17726464
2010-01-05 13:15:00,6.065,6.07,6.0,6.02,18239167
2010-01-05 13:30:00,6.02,6.03,6.01,6.01,18443713
2010-01-05 13:45:00,6.01,6.05,6.01,6.03,18678070
2010-01-05 14:00:00,6.04,6.05,6.03,6.03,18838622
2010-01-05 14:15:00,6.04,6.04,5.98,5.99,19453329
2010-01-05 14:30:00,5.99,6.0199,5.98,6.0,20126912
2010-01-05 14:45:00,6.0,6.03,5.99,6.02,20417577
2010-01-05 15:00:00,6.01,6.04,6.01,6.03,20636595
2010-01-05 15:15:00,6.03,6.04,6.02,6.0301,21516552
2010-01-05 15:30:00,6.03,6.04,6.01,6.02,21874764
2010-01-05 15:45:00,6.02,6.03,6.01,6.02,22611044
2010-01-05 16:00:00,6.02,6.04,5.98,5.99,26503247
2010-01-06 09:45:00,6.03,6.05,5.88,5.8812,904598
2010-01-06 10:00:00,5.88,5.91,5.85,5.86,1811928
2010-01-06 10:15:00,5.85,5.92,5.84,5.87,2927471
2010-01-06 10:30:00,5.87,5.92,5.865,5.91,3265088
2010-01-06 10:45:00,5.91,5.94,5.91,5.935,3450790
2010-01-06 11:00:00,5.94,5.97,5.91,5.9299,3887299
2010-01-06 11:15:00,5.925,5.93,5.92,5.925,3980779
2010-01-06 11:30:00,5.92,5.99,5.92,5.9899,4262654
2010-01-06 11:45:00,5.99,6.0,5.96,5.96,4431274
2010-01-06 12:00:00,5.96,5.98,5.92,5.94,4643705
