dt,open,high,low,close,volume
2010-01-04 09:45:00,29.22,29.52,29.22,29.3,343065
2010-01-04 10:00:00,29.3,29.37,29.27,29.365,849562
2010-01-04 10:15:00,29.3618,29.4118,29.32,29.365,1072741
2010-01-04 10:30:00,29.365,29.41,29.34,29.408,1253253
2010-01-04 10:45:00,29.4,29.48,29.4,29.48,1410671
2010-01-04 11:00:00,29.48,29.48,29.3,29.3,2041473
2010-01-04 11:15:00,29.3,29.33,29.23,29.295,2320035
2010-01-04 11:30:00,29.3,29.44,29.295,29.35,2509453
2010-01-04 11:45:00,29.36,29.42,29.3,29.4,2769603
2010-01-04 12:00:00,29.4,29.41,29.36,29.38,2942591
2010-01-04 12:15:00,29.38,29.39,29.32,29.33,3122519
2010-01-04 12:30:00,29.335,29.34,29.3,29.3,3219758
2010-01-04 12:45:00,29.305,29.355,29.29,29.355,3396558
2010-01-04 13:00:00,29.355,29.37,29.3,29.31,3549394
2010-01-04 13:15:00,29.31,29.38,29.31,29.36,3699569
2010-01-04 13:30:00,29.36,29.39,29.35,29.37,3859222
2010-01-04 13:45:00,29.363,29.37,29.32,29.35,3999858
2010-01-04 14:00:00,29.35,29.38,29.31,29.31,4150901
2010-01-04 14:15:00,29.31,29.32,29.3,29.3,4256925
2010-01-04 14:30:00,29.3,29.35,29.3,29.34,4432614
2010-01-04 14:45:00,29.34,29.43,29.34,29.41,4578439
2010-01-04 15:00:00,29.41,29.42,29.39,29.39,4739821
2010-01-04 15:15:00,29.39,29.43,29.39,29.4,4974111
2010-01-04 15:30:00,29.4,29.48,29.4,29.475,5289381
2010-01-04 15:45:00,29.48,29.5,29.42,29.43,5596469
2010-01-04 16:00:00,29.42,29.46,29.4,29.44,6298566
2010-01-05 09:45:00,29.29,29.33,29.17,29.2,655918
2010-01-05 10:00:00,29.2,29.26,29.03,29.03,1130229
2010-01-05 10:15:00,29.02,29.21,28.98,29.21,1488133
2010-01-05 10:30:00,29.21,29.41,29.19,29.39,1837894
2010-01-05 10:45:00,29.393,29.42,29.32,29.34,2195953
2010-01-05 11:00:00,29.34,29.38,29.22,29.305,2458500
2010-01-05 11:15:00,29.29,29.2901,29.16,29.17,2685074
2010-01-05 11:30:00,29.17,29.27,29.16,29.21,2963766
2010-01-05 11:45:00,29.21,29.29,29.2,29.22,3237438
2010-01-05 12:00:00,29.23,29.25,29.18,29.19,3382047
2010-01-05 12:15:00,29.18,29.22,29.17,29.2,3525851
2010-01-05 12:30:00,29.1901,29.21,29.11,29.115,3733947
2010-01-05 12:45:00,29.12,29.21,29.1,29.19,3890693
2010-01-05 13:00:00,29.18,29.18,29.09,29.09,4032069
2010-01-05 13:15:00,29.1,29.13,29.05,29.05,4266722
2010-01-05 13:30:00,29.05,29.06,28.94,28.9599,4652721
2010-01-05 13:45:00,28.95,29.06,28.95,29.0,4897688
2010-01-05 14:00:00,29.005,29.035,28.94,28.98,5143242
2010-01-05 14:15:00,28.99,29.03,28.98,29.025,5418869
2010-01-05 14:30:00,29.025,29.06,29.0,29.015,5670376
2010-01-05 14:45:00,29.02,29.11,28.99,29.095,6113894
