dt,open,high,low,close,volume
2010-01-04 09:45:00,30.66,30.99,30.66,30.96,67381
2010-01-04 10:00:00,30.94,31.01,30.8,30.86,129526
2010-01-04 10:15:00,30.85,30.97,30.79,30.93,199045
2010-01-04 10:30:00,30.91,30.95,30.88,30.93,246895
2010-01-04 10:45:00,30.925,31.12,30.925,31.02,378086
2010-01-04 11:00:00,31.02,31.045,30.99,30.995,426845
2010-01-04 11:15:00,30.99,31.05,30.99,30.99,502592
2010-01-04 11:30:00,30.9911,30.995,30.94,30.97,541798
2010-01-04 11:45:00,30.96,31.045,30.96,31.03,664874
2010-01-04 12:00:00,31.03,31.04,31.015,31.04,717974
2010-01-04 12:15:00,31.04,31.05,31.03,31.04,772828
2010-01-04 12:30:00,31.04,31.04,31.0,31.0,826462
2010-01-04 12:45:00,31.0,31.04,31.0,31.0,876822
2010-01-04 13:00:00,31.0,31.05,31.0,31.03,960847
2010-01-04 13:15:00,31.03,31.05,31.03,31.05,982051
2010-01-04 13:30:00,31.04,31.065,31.03,31.045,1018502
2010-01-04 13:45:00,31.04,31.05,31.0275,31.03,1036074
2010-01-04 14:00:00,31.04,31.04,31.01,31.027,1056560
2010-01-04 14:15:00,31.04,31.058,31.02,31.03,1080301
2010-01-04 14:30:00,31.035,31.05,31.001,31.03,1100853
2010-01-04 14:45:00,31.03,31.08,31.0275,31.055,1156359
2010-01-04 15:00:00,31.06,31.07,31.02,31.035,1181657
2010-01-04 15:15:00,31.03,31.065,31.03,31.04,1241006
2010-01-04 15:30:00,31.05,31.08,31.02,31.08,1283457
2010-01-04 15:45:00,31.08,31.12,31.07,31.1,1374681
2010-01-04 16:00:00,31.11,31.13,31.09,31.125,1520397
2010-01-05 09:45:00,31.09,31.42,31.09,31.32,85835
2010-01-05 10:00:00,31.28,31.33,31.07,31.1,117721
2010-01-05 10:15:00,31.04,31.2,31.04,31.13,198093
2010-01-05 10:30:00,31.13,31.23,31.1,31.16,252934
2010-01-05 10:45:00,31.165,31.19,31.13,31.15,331361
2010-01-05 11:00:00,31.15,31.15,31.1,31.13,389714
2010-01-05 11:15:00,31.13,31.19,31.13,31.15,431561
2010-01-05 11:30:00,31.12,31.14,31.1,31.12,461803
2010-01-05 11:45:00,31.11,31.12,31.1,31.11,505266
2010-01-05 12:00:00,31.12,31.12,31.1,31.1,528634
2010-01-05 12:15:00,31.1,31.11,31.075,31.075,565284
2010-01-05 12:30:00,31.07,31.07,31.0125,31.06,599977
2010-01-05 12:45:00,31.07,31.11,31.03,31.1,638902
2010-01-05 13:00:00,31.09,31.1,31.045,31.1,685974
2010-01-05 13:15:00,31.09,31.1,31.03,31.05,714077
2010-01-05 13:30:00,31.055,31.06,31.02,31.02,732581
2010-01-05 13:45:00,31.02,31.05,31.0,31.01,749496
2010-01-05 14:00:00,31.01,31.01,30.84,30.86,781571
2010-01-05 14:15:00,30.87,30.92,30.81,30.85,802207
2010-01-05 14:30:00,30.83,30.83,30.77,30.81,820130
2010-01-05 14:45:00,30.8,30.81,30.71,30.77,843728
2010-01-05 15:00:00,30.76,30.79,30.72,30.76,864408
2010-01-05 15:15:00,30.76,30.82,30.75,30.815,903999
2010-01-05 15:30:00,30.81,30.82,30.75,30.8,937023
2010-01-05 15:45:00,30.79,30.91,30.765,30.88,997301
2010-01-05 16:00:00,30.88,30.97,30.87,30.9,1130927
2010-01-06 09:45:00,30.93,31.01,30.7814,30.81,39704
2010-01-06 10:00:00,30.81,30.93,30.78,30.93,121258
2010-01-06 10:15:00,30.94,31.03,30.912,30.995,151907
2010-01-06 10:30:00,31.01,31.23,31.01,31.11,231843
2010-01-06 10:45:00,31.11,31.16,31.01,31.07,268352
2010-01-06 11:00:00,31.07,31.13,31.02,31.1,296812
2010-01-06 11:15:00,31.11,31.12,31.04,31.045,318221
2010-01-06 11:30:00,31.04,31.05,31.02,31.05,336439
2010-01-06 11:45:00,31.0425,31.08,31.03,31.07,352339
2010-01-06 12:00:00,31.07,31.07,30.91,30.91,378585
2010-01-06 12:15:00,30.91,30.92,30.76,30.78,401198
2010-01-06 12:30:00,30.79,30.8,30.75,30.79,422828
2010-01-06 12:45:00,30.79,30.89,30.78,30.88,452148
2010-01-06 13:00:00,30.88,30.89,30.82,30.8499,470345
2010-01-06 13:15:00,30.85,30.8799,30.82,30.84,492559
2010-01-06 13:30:00,30.85,30.87,30.77,30.7799,516918
2010-01-06 13:45:00,30.77,30.78,30.69,30.69,536220
2010-01-06 14:00:00,30.69,30.785,30.67,30.69,620468
2010-01-06 14:15:00,30.7,30.76,30.69,30.69,644696
2010-01-06 14:30:00,30.7,30.73,30.69,30.7,677732
2010-01-06 14:45:00,30.7,30.73,30.68,30.69,700742
2010-01-06 15:00:00,30.69,30.7,30.65,30.68,719100
2010-01-06 15:15:00,30.69,30.77,30.68,30.74,755960
2010-01-06 15:30:00,30.74,30.75,30.67,30.73,855785
2010-01-06 15:45:00,30.72,30.75,30.68,30.68,930335
2010-01-06 16:00:00,30.695,30.77,30.6875,30.74,1003639
2010-01-07 09:45:00,30.63,30.92,30.63,30.7875,35330
2010-01-07 10:00:00,30.77,30.77,30.68,30.7,93030
2010-01-07 10:15:00,30.7,30.82,30.7,30.71,107730
2010-01-07 10:30:00,30.71,30.72,30.64,30.68,137898
2010-01-07 10:45:00,30.68,30.78,30.6503,30.7,214450
2010-01-07 11:00:00,30.7,30.79,30.67,30.7,306471
2010-01-07 11:15:00,30.7,30.75,30.67,30.7,343038
2010-01-07 11:30:00,30.7,30.75,30.67,30.73,361698
2010-01-07 11:45:00,30.73,30.75,30.68,30.69,370638
2010-01-07 12:00:00,30.72,30.73,30.68,30.695,381138
2010-01-07 12:15:00,30.69,30.77,30.68,30.71,404646
2010-01-07 12:30:00,30.71,30.8,30.71,30.8,422046
2010-01-07 12:45:00,30.79,30.82,30.72,30.72,446803
2010-01-07 13:00:00,30.72,30.75,30.69,30.7,469834
