dt,open,high,low,close,volume
2010-01-04 09:45:00,31.38,31.39,30.97,31.24,1443278
2010-01-04 10:00:00,31.26,31.33,31.13,31.17,2149654
2010-01-04 10:15:00,31.17,31.19,31.1,31.18,2504313
2010-01-04 10:30:00,31.18,31.27,31.15,31.26,2939361
2010-01-04 10:45:00,31.26,31.29,31.18,31.24,3262024
2010-01-04 11:00:00,31.23,31.28,31.15,31.155,3530068
2010-01-04 11:15:00,31.16,31.27,31.15,31.19,3814327
2010-01-04 11:30:00,31.2,31.3,31.19,31.3,4046883
2010-01-04 11:45:00,31.29,31.37,31.29,31.32,4640898
2010-01-04 12:00:00,31.32,31.32,31.24,31.289,4995979
2010-01-04 12:15:00,31.28,31.36,31.25,31.35,5206556
2010-01-04 12:30:00,31.35,31.38,31.29,31.32,5636309
2010-01-04 12:45:00,31.32,31.41,31.31,31.4095,5864944
2010-01-04 13:00:00,31.405,31.44,31.33,31.37,6326862
2010-01-04 13:15:00,31.365,31.43,31.365,31.4075,6458964
2010-01-04 13:30:00,31.4,31.41,31.34,31.39,6691466
2010-01-04 13:45:00,31.39,31.4,31.28,31.305,6995313
2010-01-04 14:00:00,31.3,31.37,31.25,31.34,7440424
2010-01-04 14:15:00,31.34,31.4,31.3343,31.4,7666470
2010-01-04 14:30:00,31.39,31.44,31.35,31.44,7973179
2010-01-04 14:45:00,31.44,31.54,31.42,31.54,8457250
2010-01-04 15:00:00,31.53,31.56,31.38,31.44,9019974
2010-01-04 15:15:00,31.44,31.48,31.39,31.44,9358624
2010-01-04 15:30:00,31.43,31.52,31.42,31.52,9870153
2010-01-04 15:45:00,31.52,31.57,31.47,31.56,10408398
2010-01-04 16:00:00,31.57,31.6,31.43,31.52,11723598
2010-01-05 09:45:00,31.73,31.94,31.53,31.59,709032
2010-01-05 10:00:00,31.59,31.74,31.5,31.51,1227815
2010-01-05 10:15:00,31.5,31.63,31.44,31.56,1888115
2010-01-05 10:30:00,31.56,31.74,31.56,31.7,2348373
2010-01-05 10:45:00,31.695,31.75,31.6,31.73,2736100
2010-01-05 11:00:00,31.73,31.77,31.62,31.75,3254393
2010-01-05 11:15:00,31.748,31.84,31.7,31.82,4203272
2010-01-05 11:30:00,31.82,31.97,31.75,31.92,5030167
2010-01-05 11:45:00,31.91,31.92,31.79,31.87,5293105
2010-01-05 12:00:00,31.86,31.89,31.785,31.8,5508424
2010-01-05 12:15:00,31.79,31.83,31.77,31.83,5897420
2010-01-05 12:30:00,31.83,31.84,31.71,31.715,6163338
2010-01-05 12:45:00,31.71,31.73,31.67,31.71,6561775
2010-01-05 13:00:00,31.71,31.76,31.67,31.74,6806113
2010-01-05 13:15:00,31.75,31.76,31.56,31.56,6992398
2010-01-05 13:30:00,31.5675,31.62,31.52,31.55,7402375
2010-01-05 13:45:00,31.56,31.59,31.5,31.52,7705729
2010-01-05 14:00:00,31.52,31.52,31.36,31.38,8089224
2010-01-05 14:15:00,31.38,31.44,31.34,31.35,8444894
2010-01-05 14:30:00,31.35,31.38,31.28,31.34,8736692
2010-01-05 14:45:00,31.35,31.45,31.345,31.43,8946883
2010-01-05 15:00:00,31.44,31.54,31.4365,31.515,9155019
2010-01-05 15:15:00,31.5101,31.58,31.46,31.58,9375417
2010-01-05 15:30:00,31.5718,31.58,31.44,31.44,9697776
2010-01-05 15:45:00,31.445,31.5,31.39,31.39,10041719
2010-01-05 16:00:00,31.3901,31.48,31.39,31.47,10584727
2010-01-06 09:45:00,31.6,31.66,31.41,31.51,323499
2010-01-06 10:00:00,31.5188,31.64,31.45,31.64,893783
2010-01-06 10:15:00,31.63,31.69,31.56,31.65,1525748
2010-01-06 10:30:00,31.64,31.76,31.64,31.75,1782264
2010-01-06 10:45:00,31.75,31.89,31.74,31.75,2126425
2010-01-06 11:00:00,31.75,31.87,31.75,31.86,2281552
2010-01-06 11:15:00,31.87,31.95,31.78,31.78,2795104
2010-01-06 11:30:00,31.78,31.91,31.77,31.91,3338696
2010-01-06 11:45:00,31.9018,32.02,31.87,32.01,3952181
2010-01-06 12:00:00,32.02,32.06,31.94,31.9701,5127128
2010-01-06 12:15:00,31.97,32.01,31.83,31.848,5466363
2010-01-06 12:30:00,31.85,31.89,31.78,31.79,5818436
2010-01-06 12:45:00,31.79,31.88,31.79,31.835,6296395
2010-01-06 13:00:00,31.835,31.8375,31.75,31.775,6455051
2010-01-06 13:15:00,31.78,31.82,31.72,31.75,6635639
2010-01-06 13:30:00,31.76,31.78,31.74,31.76,6795036
2010-01-06 13:45:00,31.75,31.8,31.62,31.62,6991110
2010-01-06 14:00:00,31.62,31.65,31.56,31.65,7151751
2010-01-06 14:15:00,31.65,31.74,31.64,31.71,7347385
2010-01-06 14:30:00,31.71,31.79,31.7,31.77,7507167
2010-01-06 14:45:00,31.77,31.775,31.6605,31.7595,7650919
2010-01-06 15:00:00,31.76,31.815,31.76,31.79,7750459
2010-01-06 15:15:00,31.8,31.81,31.72,31.74,7943980
2010-01-06 15:30:00,31.74,31.77,31.69,31.7,8184496
2010-01-06 15:45:00,31.7,31.8,31.68,31.75,8578871
2010-01-06 16:00:00,31.75,31.82,31.75,31.8,9395607
2010-01-07 09:45:00,31.59,32.25,31.59,32.185,480024
2010-01-07 10:00:00,32.18,32.31,32.02,32.28,985951
2010-01-07 10:15:00,32.29,32.3598,32.1,32.17,1352623
2010-01-07 10:30:00,32.175,32.24,32.095,32.159,1595871
2010-01-07 10:45:00,32.155,32.32,32.11,32.31,1889276
2010-01-07 11:00:00,32.32,32.49,32.315,32.32,2180373
2010-01-07 11:15:00,32.32,32.49,32.3,32.47,2473284
2010-01-07 11:30:00,32.48,32.59,32.44,32.47,2858665
2010-01-07 11:45:00,32.455,32.52,32.38,32.399,3095754
2010-01-07 12:00:00,32.39,32.57,32.39,32.49,3379301
2010-01-07 12:15:00,32.5,32.5,32.39,32.43,3504576
2010-01-07 12:30:00,32.44,32.64,32.435,32.63,3900458
2010-01-07 12:45:00,32.63,32.72,32.58,32.7,4266478
2010-01-07 13:00:00,32.7,32.84,32.685,32.75,4683167
2010-01-07 13:15:00,32.75,32.83,32.73,32.73,4889973
2010-01-07 13:30:00,32.73,32.8599,32.73,32.74,5065026
2010-01-07 13:45:00,32.75,32.81,32.72,32.79,5255416
2010-01-07 14:00:00,32.79,32.9,32.785,32.9,5481995
2010-01-07 14:15:00,32.9,32.96,32.88,32.94,6086547
2010-01-07 14:30:00,32.95,32.96,32.91,32.95,6469480
2010-01-07 14:45:00,32.95,33.05,32.94,33.0001,7276669
2010-01-07 15:00:00,33.005,33.02,32.97,33.0081,8142930
2010-01-07 15:15:00,33.0,33.03,32.97,32.99,8880357
2010-01-07 15:30:00,32.99,33.03,32.99,32.99,9339885
2010-01-07 15:45:00,32.99,33.02,32.98,32.995,9939932
2010-01-07 16:00:00,32.9903,33.04,32.91,33.01,11367728
2010-01-08 09:45:00,32.86,32.92,32.34,32.59,928911
2010-01-08 10:00:00,32.59,32.66,32.46,32.59,1443232
2010-01-08 10:15:00,32.6,32.67,32.35,32.52,1926276
2010-01-08 10:30:00,32.511,32.53,32.39,32.5199,2260124
2010-01-08 10:45:00,32.52,32.63,32.49,32.555,2698827
2010-01-08 11:00:00,32.56,32.69,32.55,32.57,2976239
2010-01-08 11:15:00,32.57,32.67,32.44,32.44,3292198
2010-01-08 11:30:00,32.44,32.635,32.43,32.6,3579842
2010-01-08 11:45:00,32.6,32.65,32.57,32.63,3738977
2010-01-08 12:00:00,32.6392,32.73,32.63,32.68,3869180
2010-01-08 12:15:00,32.68,32.71,32.61,32.665,4022495
2010-01-08 12:30:00,32.66,32.7,32.58,32.65,4111952
2010-01-08 12:45:00,32.65,32.65,32.58,32.6375,4207203
2010-01-08 13:00:00,32.6375,32.7,32.61,32.66,4381059
2010-01-08 13:15:00,32.665,32.77,32.61,32.7599,4563247
2010-01-08 13:30:00,32.76,32.7682,32.63,32.6675,4693866
2010-01-08 13:45:00,32.67,32.75,32.59,32.61,4841998
2010-01-08 14:00:00,32.6,32.62,32.53,32.53,4998140
2010-01-08 14:15:00,32.53,32.55,32.5,32.51,5119591
2010-01-08 14:30:00,32.5,32.54,32.45,32.51,5296929
2010-01-08 14:45:00,32.5099,32.54,32.4,32.4,5495292
2010-01-08 15:00:00,32.4,32.53,32.39,32.519,5676944
2010-01-08 15:15:00,32.52,32.59,32.48,32.59,5828294
2010-01-08 15:30:00,32.58,32.59,32.49,32.57,5975292
2010-01-08 15:45:00,32.57,32.71,32.54,32.67,6354519
2010-01-08 16:00:00,32.67,32.69,32.61,32.69,6893116
2010-01-11 09:45:00,32.71,33.05,32.7,32.93,660779
2010-01-11 10:00:00,32.93,33.02,32.83,33.0182,999188
2010-01-11 10:15:00,33.02,33.13,32.875,32.89,1399564
2010-01-11 10:30:00,32.89,33.07,32.89,33.02,1614649
2010-01-11 10:45:00,33.0299,33.07,32.89,33.05,1783200
2010-01-11 11:00:00,33.0585,33.13,32.98,33.11,2052538
2010-01-11 11:15:00,33.11,33.12,32.96,33.0035,2222897
2010-01-11 11:30:00,33.0,33.08,32.96,33.01,2413632
2010-01-11 11:45:00,33.0029,33.07,32.995,33.0,2605917
2010-01-11 12:00:00,33.0,33.04,32.99,33.005,2728599
2010-01-11 12:15:00,33.01,33.05,32.99,33.0,2864783
2010-01-11 12:30:00,33.005,33.01,32.99,33.0095,2983031
2010-01-11 12:45:00,33.0,33.0,32.88,32.93,3239889
2010-01-11 13:00:00,32.93,32.94,32.86,32.91,3527110
2010-01-11 13:15:00,32.91,32.92,32.895,32.9,3823411
2010-01-11 13:30:00,32.9,32.96,32.89,32.94,4103861
2010-01-11 13:45:00,32.94,32.95,32.84,32.95,4466692
2010-01-11 14:00:00,32.95,33.0,32.94,33.0,4772933
2010-01-11 14:15:00,33.0,33.02,32.92,32.962,4968843
2010-01-11 14:30:00,32.97,32.98,32.9,32.93,5159231
2010-01-11 14:45:00,32.935,32.94,32.825,32.91,5489928
2010-01-11 15:00:00,32.91,32.93,32.83,32.87,5679569
2010-01-11 15:15:00,32.87,32.97,32.87,32.88,5898205
2010-01-11 15:30:00,32.89,32.95,32.87,32.93,6159580
2010-01-11 15:45:00,32.93,32.98,32.92,32.96,6425099
2010-01-11 16:00:00,32.96,32.97,32.87,32.92,6998139
2010-01-12 09:45:00,32.7,32.91,32.35,32.37,470033
