dt,open,high,low,close,volume
2010-01-04 09:45:00,19.73,19.78,19.55,19.56,186611
2010-01-04 10:00:00,19.56,19.6,19.55,19.56,331263
2010-01-04 10:15:00,19.56,19.66,19.5491,19.637,611872
2010-01-04 10:30:00,19.64,19.73,19.61,19.7299,822910
2010-01-04 10:45:00,19.73,19.77,19.73,19.75,1104249
2010-01-04 11:00:00,19.75,19.76,19.66,19.69,1439385
2010-01-04 11:15:00,19.7,19.74,19.7,19.74,1502415
2010-01-04 11:30:00,19.74,19.8,19.74,19.8,1567249
2010-01-04 11:45:00,19.8,19.92,19.8,19.92,1619294
2010-01-04 12:00:00,19.92,19.95,19.88,19.905,1720163
2010-01-04 12:15:00,19.91,19.95,19.89,19.9099,1808905
2010-01-04 12:30:00,19.908,19.95,19.9,19.95,1845131
2010-01-04 12:45:00,19.94,20.0,19.94,20.0,1917201
2010-01-04 13:00:00,20.0,20.05,19.99,20.04,1965791
2010-01-04 13:15:00,20.05,20.05,20.02,20.03,2005957
2010-01-04 13:30:00,20.03,20.035,20.0,20.02,2030486
2010-01-04 13:45:00,20.02,20.04,20.02,20.03,2093869
2010-01-04 14:00:00,20.03,20.035,19.99,19.99,2125328
2010-01-04 14:15:00,19.99,19.9989,19.94,19.94,2158374
2010-01-04 14:30:00,19.93,19.95,19.9,19.95,2230118
2010-01-04 14:45:00,19.95,19.99,19.93,19.93,2277723
2010-01-04 15:00:00,19.93,19.95,19.89,19.895,2317151
2010-01-04 15:15:00,19.89,19.89,19.87,19.88,2368744
2010-01-04 15:30:00,19.88,19.89,19.85,19.85,2451733
2010-01-04 15:45:00,19.86,19.87,19.85,19.85,2556861
2010-01-04 16:00:00,19.85,19.93,19.85,19.92,2827852
2010-01-05 09:45:00,19.85,20.04,19.83,19.93,100336
2010-01-05 10:00:00,19.92,19.94,19.82,19.82,184818
2010-01-05 10:15:00,19.82,20.03,19.8,20.02,315598
2010-01-05 10:30:00,20.02,20.11,19.98,20.09,401041
2010-01-05 10:45:00,20.08,20.16,20.05,20.15,451042
2010-01-05 11:00:00,20.15,20.16,20.11,20.13,504968
2010-01-05 11:15:00,20.1275,20.1899,20.09,20.14,567925
2010-01-05 11:30:00,20.14,20.16,20.1,20.14,649553
2010-01-05 11:45:00,20.14,20.19,20.12,20.185,715056
2010-01-05 12:00:00,20.185,20.25,20.17,20.21,784901
2010-01-05 12:15:00,20.21,20.25,20.19,20.2,845958
2010-01-05 12:30:00,20.19,20.24,20.17,20.22,899052
2010-01-05 12:45:00,20.22,20.27,20.18,20.27,965680
2010-01-05 13:00:00,20.27,20.27,20.24,20.26,1001500
2010-01-05 13:15:00,20.26,20.28,20.25,20.26,1030660
2010-01-05 13:30:00,20.26,20.26,20.22,20.23,1058638
2010-01-05 13:45:00,20.23,20.27,20.19,20.27,1109937
2010-01-05 14:00:00,20.27,20.29,20.22,20.28,1160928
2010-01-05 14:15:00,20.27,20.28,20.19,20.19,1196341
2010-01-05 14:30:00,20.19,20.2,20.15,20.17,1234335
2010-01-05 14:45:00,20.17,20.21,20.165,20.1705,1295360
2010-01-05 15:00:00,20.17,20.18,20.14,20.15,1350125
2010-01-05 15:15:00,20.15,20.155,20.14,20.145,1381897
2010-01-05 15:30:00,20.14,20.2,20.13,20.17,1471970
2010-01-05 15:45:00,20.18,20.28,20.17,20.25,1574189
2010-01-05 16:00:00,20.26,20.28,20.22,20.24,1806564
2010-01-06 09:45:00,20.25,20.29,20.19,20.24,89892
2010-01-06 10:00:00,20.24,20.365,20.235,20.3,217898
2010-01-06 10:15:00,20.3,20.4,20.29,20.36,290277
2010-01-06 10:30:00,20.37,20.37,20.3,20.3499,346013
2010-01-06 10:45:00,20.34,20.37,20.32,20.3599,418901
