dt,open,high,low,close,volume
2010-01-04 09:45:00,47.19,47.36,47.0,47.15,162678
2010-01-04 10:00:00,47.16,47.41,47.16,47.41,203835
2010-01-04 10:15:00,47.4,47.425,47.33,47.34,235365
2010-01-04 10:30:00,47.32,47.32,47.18,47.3,254225
2010-01-04 10:45:00,47.33,47.33,47.24,47.29,365942
2010-01-04 11:00:00,47.29,47.3,47.2319,47.27,379085
2010-01-04 11:15:00,47.27,47.3,47.2,47.24,407434
2010-01-04 11:30:00,47.22,47.23,47.17,47.18,431553
2010-01-04 11:45:00,47.2,47.2099,47.16,47.19,440740
2010-01-04 12:00:00,47.21,47.2193,47.16,47.19,451340
2010-01-04 12:15:00,47.18,47.194,47.14,47.18,468567
2010-01-04 12:30:00,47.1715,47.21,47.1715,47.2,474920
2010-01-04 12:45:00,47.204,47.21,47.17,47.2,482998
2010-01-04 13:00:00,47.19,47.2,47.18,47.19,503542
2010-01-04 13:15:00,47.19,47.22,47.17,47.2,521613
2010-01-04 13:30:00,47.21,47.22,47.19,47.21,530070
2010-01-04 13:45:00,47.202,47.22,47.18,47.2199,549367
2010-01-04 14:00:00,47.2,47.22,47.11,47.135,559627
2010-01-04 14:15:00,47.13,47.178,47.12,47.13,569485
2010-01-04 14:30:00,47.14,47.16,47.13,47.15,580848
2010-01-04 14:45:00,47.155,47.19,47.15,47.16,606760
2010-01-04 15:00:00,47.15,47.16,47.11,47.11,625489
2010-01-04 15:15:00,47.11,47.12,47.06,47.11,653282
2010-01-04 15:30:00,47.1,47.145,47.09,47.1,678045
2010-01-04 15:45:00,47.11,47.15,47.06,47.13,714841
2010-01-04 16:00:00,47.14,47.18,47.09,47.14,748897
2010-01-05 09:45:00,47.67,47.69,47.48,47.53,55409
2010-01-05 10:00:00,47.57,47.63,47.47,47.54,125212
2010-01-05 10:15:00,47.54,47.7,47.48,47.615,159529
2010-01-05 10:30:00,47.65,47.7,47.54,47.7,245173
2010-01-05 10:45:00,47.68,47.68,47.58,47.62,287620
2010-01-05 11:00:00,47.61,47.61,47.54,47.61,319844
2010-01-05 11:15:00,47.6,47.67,47.55,47.55,361730
2010-01-05 11:30:00,47.56,47.56,47.47,47.48,400089
2010-01-05 11:45:00,47.48,47.5,47.41,47.49,415134
2010-01-05 12:00:00,47.49,47.5822,47.46,47.58,429889
2010-01-05 12:15:00,47.58,47.62,47.56,47.6,444545
2010-01-05 12:30:00,47.61,47.63,47.58,47.58,454068
2010-01-05 12:45:00,47.58,47.62,47.58,47.615,461781
2010-01-05 13:00:00,47.61,47.62,47.57,47.57,478862
2010-01-05 13:15:00,47.58,47.58,47.5,47.515,489602
2010-01-05 13:30:00,47.5125,47.515,47.44,47.45,503304
2010-01-05 13:45:00,47.45,47.59,47.45,47.56,529389
2010-01-05 14:00:00,47.55,47.61,47.55,47.59,556237
2010-01-05 14:15:00,47.61,47.67,47.59,47.65,581292
2010-01-05 14:30:00,47.65,47.69,47.59,47.69,598975
2010-01-05 14:45:00,47.69,47.69,47.65,47.67,619531
2010-01-05 15:00:00,47.65,47.72,47.65,47.719,635031
2010-01-05 15:15:00,47.72,47.76,47.67,47.74,656989
2010-01-05 15:30:00,47.76,47.81,47.74,47.77,686195
2010-01-05 15:45:00,47.76,47.85,47.76,47.83,720299
2010-01-05 16:00:00,47.81,47.85,47.74,47.82,820230
2010-01-06 09:45:00,47.95,47.99,47.75,47.87,22875
2010-01-06 10:00:00,47.87,47.95,47.86,47.9,86073
2010-01-06 10:15:00,47.9,48.0,47.88,47.97,121851
2010-01-06 10:30:00,47.978,48.05,47.97,48.02,159005
2010-01-06 10:45:00,48.01,48.26,48.0,48.25,201694
2010-01-06 11:00:00,48.26,48.46,48.26,48.43,224532
2010-01-06 11:15:00,48.42,48.425,48.32,48.35,262763
2010-01-06 11:30:00,48.35,48.42,48.3,48.31,280009
2010-01-06 11:45:00,48.31,48.33,48.16,48.18,316362
2010-01-06 12:00:00,48.18,48.29,48.13,48.22,354512
2010-01-06 12:15:00,48.22,48.33,48.22,48.25,367562
2010-01-06 12:30:00,48.23,48.31,48.2,48.3,383537
2010-01-06 12:45:00,48.3,48.38,48.28,48.35,420361
2010-01-06 13:00:00,48.35,48.36,48.34,48.36,441257
2010-01-06 13:15:00,48.36,48.49,48.34,48.36,481277
2010-01-06 13:30:00,48.36,48.42,48.34,48.39,508842
2010-01-06 13:45:00,48.38,48.4,48.26,48.26,538832
2010-01-06 14:00:00,48.26,48.26,48.16,48.2,594628
2010-01-06 14:15:00,48.2,48.3,48.2,48.29,622713
2010-01-06 14:30:00,48.29,48.3,48.19,48.22,642415
2010-01-06 14:45:00,48.22,48.25,48.21,48.23,660527
2010-01-06 15:00:00,48.22,48.28,48.22,48.2475,675289
2010-01-06 15:15:00,48.24,48.25,48.16,48.21,673714
2010-01-06 15:30:00,48.0017,48.2,48.0017,48.14,715963
2010-01-06 15:45:00,48.14,48.19,48.1,48.1,751274
2010-01-06 16:00:00,48.1,48.17,48.04,48.15,789504
2010-01-07 09:45:00,48.07,48.07,47.79,47.81,57649
2010-01-07 10:00:00,47.85,47.855,47.53,47.68,97615
2010-01-07 10:15:00,47.69,47.809,47.59,47.59,131101
2010-01-07 10:30:00,47.59,47.702,47.56,47.7,170407
2010-01-07 10:45:00,47.67,47.75,47.64,47.64,203925
2010-01-07 11:00:00,47.64,47.66,47.48,47.48,237375
2010-01-07 11:15:00,47.46,47.51,47.34,47.4,289483
2010-01-07 11:30:00,47.395,47.42,47.31,47.41,339297
2010-01-07 11:45:00,47.42,47.47,47.19,47.23,431559
2010-01-07 12:00:00,47.23,47.328,47.22,47.32,455591
2010-01-07 12:15:00,47.32,47.35,47.31,47.3275,480293
2010-01-07 12:30:00,47.325,47.33,47.23,47.28,508299
2010-01-07 12:45:00,47.29,47.29,47.23,47.2375,528604
2010-01-07 13:00:00,47.235,47.24,47.12,47.1275,563660
2010-01-07 13:15:00,47.125,47.25,47.12,47.23,592674
2010-01-07 13:30:00,47.2299,47.2496,47.21,47.24,614847
2010-01-07 13:45:00,47.24,47.24,47.14,47.17,643735
2010-01-07 14:00:00,47.1625,47.17,47.11,47.1225,669378
2010-01-07 14:15:00,47.13,47.2,47.125,47.1775,693748
2010-01-07 14:30:00,47.17,47.18,47.12,47.13,726932
2010-01-07 14:45:00,47.13,47.14,47.12,47.14,756050
2010-01-07 15:00:00,47.14,47.26,47.13,47.25,780667
2010-01-07 15:15:00,47.25,47.32,47.2,47.28,813494
2010-01-07 15:30:00,47.27,47.34,47.23,47.34,838656
2010-01-07 15:45:00,47.34,47.4,47.34,47.4,877965
2010-01-07 16:00:00,47.4,47.4,47.28,47.3,956213
2010-01-08 09:45:00,47.33,47.33,47.12,47.18,19824
2010-01-08 10:00:00,47.15,47.35,47.1,47.35,50759
2010-01-08 10:15:00,47.36,47.39,47.13,47.27,79472
2010-01-08 10:30:00,47.27,47.36,47.22,47.35,121940
2010-01-08 10:45:00,47.36,47.3635,47.21,47.22,138987
2010-01-08 11:00:00,47.2204,47.42,47.22,47.4,150900
