dt,open,high,low,close,volume
2010-01-04 09:45:00,24.57,24.75,24.29,24.71,148596
2010-01-04 10:00:00,24.71,24.84,24.71,24.84,252537
2010-01-04 10:15:00,24.84,24.87,24.77,24.81,363683
2010-01-04 10:30:00,24.81,24.81,24.64,24.69,545654
2010-01-04 10:45:00,24.6999,24.76,24.67,24.74,676346
2010-01-04 11:00:00,24.74,24.74,24.64,24.64,743618
2010-01-04 11:15:00,24.65,24.68,24.62,24.63,848528
2010-01-04 11:30:00,24.63,24.67,24.6,24.64,894030
2010-01-04 11:45:00,24.6375,24.71,24.6375,24.68,968308
2010-01-04 12:00:00,24.68,24.7,24.67,24.69,1009220
2010-01-04 12:15:00,24.7,24.71,24.68,24.69,1108507
2010-01-04 12:30:00,24.69,24.74,24.68,24.73,1231882
2010-01-04 12:45:00,24.74,24.75,24.68,24.73,1315841
2010-01-04 13:00:00,24.74,24.75,24.69,24.7,1360738
2010-01-04 13:15:00,24.69,24.76,24.685,24.75,1493619
2010-01-04 13:30:00,24.74,24.77,24.73,24.75,1629648
2010-01-04 13:45:00,24.75,24.75,24.67,24.68,1682713
2010-01-04 14:00:00,24.675,24.69,24.65,24.675,1768956
2010-01-04 14:15:00,24.68,24.68,24.66,24.67,1833886
2010-01-04 14:30:00,24.68,24.7,24.67,24.69,1892383
2010-01-04 14:45:00,24.69,24.71,24.6,24.61,2018918
2010-01-04 15:00:00,24.61,24.62,24.58,24.58,2092584
2010-01-04 15:15:00,24.59,24.61,24.575,24.61,2145118
2010-01-04 15:30:00,24.61,24.68,24.6,24.68,2201548
2010-01-04 15:45:00,24.67,24.71,24.65,24.67,2324444
2010-01-04 16:00:00,24.67,24.74,24.66,24.74,2534925
2010-01-05 09:45:00,24.75,24.85,24.5,24.54,396700
2010-01-05 10:00:00,24.54,24.825,24.54,24.75,589811
2010-01-05 10:15:00,24.75,24.82,24.7,24.82,743315
2010-01-05 10:30:00,24.82,24.88,24.81,24.81,821656
2010-01-05 10:45:00,24.81,24.86,24.77,24.84,934437
2010-01-05 11:00:00,24.83,24.835,24.735,24.78,1095560
2010-01-05 11:15:00,24.77,24.93,24.74,24.91,1195529
2010-01-05 11:30:00,24.92,24.92,24.87,24.8798,1251711
2010-01-05 11:45:00,24.875,24.9,24.86,24.9,1357363
2010-01-05 12:00:00,24.9,24.929,24.88,24.91,1394441
2010-01-05 12:15:00,24.91,24.92,24.88,24.91,1445334
2010-01-05 12:30:00,24.91,24.93,24.89,24.9,1524957
2010-01-05 12:45:00,24.9,24.91,24.845,24.9,1778420
2010-01-05 13:00:00,24.9,24.99,24.89,24.96,1939740
