dt,open,high,low,close,volume
2010-01-04 09:45:00,44.4,45.26,44.4,45.15,353049
2010-01-04 10:00:00,45.15,45.47,45.15,45.47,542403
2010-01-04 10:15:00,45.48,45.77,45.39,45.76,833147
2010-01-04 10:30:00,45.75,45.79,45.63,45.73,1058292
2010-01-04 10:45:00,45.72,45.79,45.66,45.77,1184497
2010-01-04 11:00:00,45.78,45.8,45.53,45.55,1302860
2010-01-04 11:15:00,45.56,45.59,45.47,45.47,1396589
2010-01-04 11:30:00,45.46,45.5,45.39,45.41,1471283
2010-01-04 11:45:00,45.41,45.56,45.37,45.515,1557511
2010-01-04 12:00:00,45.52,45.56,45.3701,45.38,1619185
2010-01-04 12:15:00,45.38,45.38,45.28,45.33,1679033
2010-01-04 12:30:00,45.33,45.37,45.281,45.281,1723853
2010-01-04 12:45:00,45.3,45.315,45.24,45.26,1769757
2010-01-04 13:00:00,45.26,45.3,45.22,45.27,1803974
2010-01-04 13:15:00,45.26,45.26,45.15,45.16,1856688
2010-01-04 13:30:00,45.16,45.21,45.14,45.18,1961310
2010-01-04 13:45:00,45.18,45.27,45.15,45.26,2035723
2010-01-04 14:00:00,45.26,45.29,45.15,45.22,2100165
2010-01-04 14:15:00,45.21,45.28,45.19,45.27,2135813
2010-01-04 14:30:00,45.27,45.35,45.27,45.33,2177178
2010-01-04 14:45:00,45.33,45.46,45.32,45.45,2222939
2010-01-04 15:00:00,45.45,45.48,45.38,45.39,2315376
2010-01-04 15:15:00,45.38,45.48,45.375,45.4,2422338
2010-01-04 15:30:00,45.39,45.4,45.26,45.27,2519056
2010-01-04 15:45:00,45.27,45.29,45.185,45.19,2701938
2010-01-04 16:00:00,45.195,45.31,45.18,45.29,2967169
2010-01-05 09:45:00,45.35,45.56,45.08,45.08,220915
2010-01-05 10:00:00,45.08,45.33,45.05,45.15,366402
2010-01-05 10:15:00,45.19,45.46,45.05,45.41,529036
2010-01-05 10:30:00,45.4,45.88,45.39,45.8675,756597
2010-01-05 10:45:00,45.8601,46.1,45.855,46.01,1062577
2010-01-05 11:00:00,46.005,46.2,45.92,46.187,2210423
2010-01-05 11:15:00,46.175,46.33,46.125,46.21,2453825
2010-01-05 11:30:00,46.2,46.61,46.1202,46.5,2886785
2010-01-05 11:45:00,46.5,46.71,46.4,46.6799,3090362
2010-01-05 12:00:00,46.7,46.95,46.68,46.77,3292245
2010-01-05 12:15:00,46.7699,46.98,46.69,46.74,3486931
2010-01-05 12:30:00,46.75,46.8,46.44,46.44,3756524
2010-01-05 12:45:00,46.44,46.68,46.4,46.65,4002200
2010-01-05 13:00:00,46.64,46.78,46.58,46.73,4200651
2010-01-05 13:15:00,46.73,46.95,46.72,46.84,4444566
2010-01-05 13:30:00,46.83,46.98,46.77,46.98,4601676
2010-01-05 13:45:00,46.97,47.44,46.95,47.17,4947122
2010-01-05 14:00:00,47.18,47.25,46.86,46.895,5217399
2010-01-05 14:15:00,46.89,46.99,46.6,46.625,5466278
2010-01-05 14:30:00,46.61,46.66,46.53,46.65,5623731
2010-01-05 14:45:00,46.65,46.719,46.61,46.64,5718905
2010-01-05 15:00:00,46.6401,46.75,46.63,46.74,5819260
2010-01-05 15:15:00,46.74,46.76,46.64,46.7299,5973955
2010-01-05 15:30:00,46.72,46.75,46.54,46.5801,6150629
2010-01-05 15:45:00,46.59,46.78,46.57,46.58,6374332
2010-01-05 16:00:00,46.571,46.59,46.43,46.46,6886013
2010-01-06 09:45:00,46.54,46.61,46.3,46.45,251363
2010-01-06 10:00:00,46.46,46.55,46.18,46.19,472839
2010-01-06 10:15:00,46.19,46.58,46.05,46.41,808317
2010-01-06 10:30:00,46.4,46.52,46.37,46.42,940414
2010-01-06 10:45:00,46.4,46.48,46.11,46.26,1224649
2010-01-06 11:00:00,46.26,46.33,46.21,46.305,1366166
2010-01-06 11:15:00,46.32,46.43,46.29,46.39,1459025
2010-01-06 11:30:00,46.3895,46.5,46.31,46.48,1565650
2010-01-06 11:45:00,46.46,46.47,46.33,46.35,1623661
2010-01-06 12:00:00,46.355,46.355,46.13,46.16,1710186
2010-01-06 12:15:00,46.169,46.185,46.05,46.07,1819182
2010-01-06 12:30:00,46.0775,46.24,46.07,46.15,1906091
2010-01-06 12:45:00,46.14,46.37,46.14,46.35,2055344
2010-01-06 13:00:00,46.36,46.41,46.34,46.4,2126180
2010-01-06 13:15:00,46.41,46.49,46.39,46.46,2194294
2010-01-06 13:30:00,46.46,46.559,46.45,46.48,2294375
2010-01-06 13:45:00,46.46,46.5,46.41,46.45,2412189
2010-01-06 14:00:00,46.45,46.46,46.33,46.37,2552882
2010-01-06 14:15:00,46.385,46.53,46.35,46.49,2691922
