dt,open,high,low,close,volume
2010-01-04 09:45:00,8.54,8.59,8.47,8.53,698400
2010-01-04 10:00:00,8.54,8.575,8.53,8.5702,1352454
2010-01-04 10:15:00,8.57,8.585,8.55,8.56,1755840
2010-01-04 10:30:00,8.57,8.59,8.56,8.59,2067203
2010-01-04 10:45:00,8.59,8.6,8.57,8.59,2351031
2010-01-04 11:00:00,8.59,8.64,8.58,8.62,2973421
2010-01-04 11:15:00,8.62,8.67,8.62,8.66,3543165
2010-01-04 11:30:00,8.665,8.75,8.66,8.74,4744625
2010-01-04 11:45:00,8.73,8.76,8.7,8.7,5983004
2010-01-04 12:00:00,8.7,8.71,8.68,8.71,6957184
2010-01-04 12:15:00,8.705,8.71,8.69,8.7,7149102
2010-01-04 12:30:00,8.71,8.72,8.69,8.69,7795882
2010-01-04 12:45:00,8.69,8.71,8.68,8.68,8018889
2010-01-04 13:00:00,8.685,8.69,8.67,8.68,8127011
2010-01-04 13:15:00,8.67,8.68,8.67,8.68,8157471
2010-01-04 13:30:00,8.6705,8.68,8.67,8.68,8212721
2010-01-04 13:45:00,8.68,8.68,8.65,8.67,8511031
2010-01-04 14:00:00,8.67,8.67,8.65,8.66,8647417
2010-01-04 14:15:00,8.66,8.67,8.65,8.665,8770818
2010-01-04 14:30:00,8.6685,8.675,8.66,8.6601,9109776
2010-01-04 14:45:00,8.66,8.68,8.66,8.67,9449360
2010-01-04 15:00:00,8.67,8.68,8.64,8.64,9791796
2010-01-04 15:15:00,8.641,8.65,8.63,8.63,10018788
2010-01-04 15:30:00,8.64,8.65,8.63,8.65,10266951
2010-01-04 15:45:00,8.65,8.65,8.64,8.64,10707275
2010-01-04 16:00:00,8.65,8.65,8.61,8.64,12124352
2010-01-05 09:45:00,8.62,8.65,8.6,8.6,554701
2010-01-05 10:00:00,8.61,8.63,8.595,8.615,938971
2010-01-05 10:15:00,8.61,8.63,8.61,8.61,1142316
2010-01-05 10:30:00,8.615,8.6301,8.61,8.62,1742956
2010-01-05 10:45:00,8.62,8.63,8.62,8.6299,1879430
2010-01-05 11:00:00,8.63,8.63,8.61,8.61,2014533
2010-01-05 11:15:00,8.61,8.64,8.61,8.64,2183395
2010-01-05 11:30:00,8.63,8.64,8.6,8.6001,2535327
2010-01-05 11:45:00,8.6,8.62,8.6,8.6,3185398
2010-01-05 12:00:00,8.61,8.61,8.59,8.6,3488594
2010-01-05 12:15:00,8.6,8.61,8.6,8.605,3533620
