dt,open,high,low,close,volume
2011-10-13 09:45:00,23.5,24.1,23.164,23.58,9900
2011-10-13 10:00:00,23.33,23.95,23.0,23.0,47024
2011-10-13 10:15:00,23.2,23.35,23.0,23.27,90576
2011-10-13 10:30:00,23.27,23.49,23.26,23.49,95740
2011-10-13 10:45:00,23.42,24.14,23.32,24.14,110540
2011-10-13 11:00:00,24.09,24.09,23.99,23.99,110940
2011-10-13 11:15:00,23.85,24.16,23.72,24.0,178080
2011-10-13 11:30:00,24.0,24.09,23.76,24.0,208740
2011-10-13 11:45:00,24.0,24.02,24.0,24.0,210608
2011-10-13 12:00:00,24.02,24.02,24.0,24.0,211508
2011-10-13 12:15:00,24.01,24.05,24.0,24.02,215226
2011-10-13 12:30:00,24.02,24.1,24.02,24.05,217226
2011-10-13 12:45:00,24.04,24.06,24.0,24.01,224326
2011-10-13 13:30:00,24.12,24.12,24.12,24.12,224426
2011-10-13 14:00:00,24.13,24.13,24.1,24.1,225626
2011-10-13 14:15:00,24.08,24.15,24.02,24.08,233726
2011-10-13 14:30:00,24.06,24.12,24.02,24.09,251426
2011-10-13 14:45:00,24.12,24.26,24.02,24.05,285905
2011-10-13 15:00:00,24.06,24.19,24.06,24.1,290805
2011-10-13 15:15:00,24.07,24.2,24.07,24.14,294405
2011-10-13 15:30:00,24.16,24.24,24.06,24.095,341505
2011-10-13 15:45:00,24.09,24.27,24.04,24.235,378441
2011-10-13 16:00:00,24.215,24.25,24.16,24.25,396841
2011-10-14 09:45:00,24.36,24.99,24.36,24.89,2300
2011-10-14 10:00:00,24.89,24.97,24.8,24.8,7600
2011-10-14 10:15:00,24.8,24.85,24.7,24.85,14800
2011-10-14 10:30:00,24.85,24.95,24.8,24.92,32700
2011-10-14 10:45:00,24.91,25.05,24.91,25.03,39200
2011-10-14 11:00:00,25.01,25.16,24.95,25.0,155200
2011-10-14 11:15:00,25.01,25.01,25.0,25.0,175600
2011-10-14 11:30:00,25.0,25.29,25.0,25.12,188500
2011-10-14 11:45:00,25.17,25.31,25.17,25.21,195200
2011-10-14 12:00:00,25.2,25.2,25.2,25.2,195600
2011-10-14 12:15:00,25.18,25.2,25.13,25.13,200200
2011-10-14 12:30:00,25.13,25.15,25.03,25.12,206300
2011-10-14 12:45:00,25.12,25.12,25.12,25.12,206500
2011-10-14 13:00:00,25.21,25.35,25.18,25.23,213850
2011-10-14 13:30:00,25.31,25.35,25.27,25.27,217650
