dt,open,high,low,close,volume
2010-01-04 09:45:00,59.31,59.77,59.31,59.77,69130
2010-01-04 10:00:00,59.78,59.87,59.72,59.72,92753
2010-01-04 10:15:00,59.78,59.81,59.48,59.48,116365
2010-01-04 10:30:00,59.5,59.84,59.485,59.78,156279
2010-01-04 10:45:00,59.785,59.79,59.66,59.75,175316
2010-01-04 11:00:00,59.78,59.84,59.72,59.81,200484
2010-01-04 11:15:00,59.82,59.84,59.81,59.84,210440
2010-01-04 11:30:00,59.84,59.88,59.81,59.88,235764
2010-01-04 11:45:00,59.89,59.96,59.81,59.95,254798
2010-01-04 12:00:00,59.95,59.98,59.871,59.97,271101
2010-01-04 12:15:00,59.96,59.98,59.9,59.92,283588
2010-01-04 12:30:00,59.935,59.94,59.91,59.91,299210
2010-01-04 12:45:00,59.91,59.98,59.89,59.97,323583
2010-01-04 13:00:00,59.97,59.9875,59.87,59.89,335317
2010-01-04 13:15:00,59.89,59.99,59.87,59.96,354696
2010-01-04 13:30:00,59.96,59.99,59.88,59.97,378186
2010-01-04 13:45:00,59.97,60.0,59.9001,60.0,401827
2010-01-04 14:00:00,59.995,59.995,59.88,59.97,422075
2010-01-04 14:15:00,59.97,59.985,59.95,59.96,434242
2010-01-04 14:30:00,59.96,60.01,59.95,60.0005,462241
2010-01-04 14:45:00,60.0,60.02,59.96,60.02,480003
2010-01-04 15:00:00,60.02,60.08,59.98,59.98,502747
2010-01-04 15:15:00,59.96,60.08,59.95,60.04,542315
2010-01-04 15:30:00,60.04,60.138,60.03,60.09,581006
2010-01-04 15:45:00,60.08,60.11,59.97,59.97,629294
2010-01-04 16:00:00,59.98,60.05,59.97,60.04,723203
2010-01-05 09:45:00,61.32,61.93,60.65,60.98,130477
2010-01-05 10:00:00,60.97,61.33,60.89,61.05,244061
2010-01-05 10:15:00,61.05,61.42,61.02,61.35,318499
2010-01-05 10:30:00,61.35,61.52,61.3,61.35,385264
2010-01-05 10:45:00,61.35,61.44,61.33,61.41,447842
2010-01-05 11:00:00,61.41,61.43,61.3,61.43,508215
2010-01-05 11:15:00,61.42,61.58,61.4,61.525,565433
2010-01-05 11:30:00,61.52,61.63,61.5,61.62,604348
2010-01-05 11:45:00,61.625,61.625,61.5,61.57,670198
2010-01-05 12:00:00,61.57,61.8,61.57,61.775,711052
2010-01-05 12:15:00,61.78,61.89,61.76,61.89,761779
2010-01-05 12:30:00,61.89,61.89,61.85,61.88,786319
2010-01-05 12:45:00,61.8701,61.9,61.86,61.9,826854
2010-01-05 13:00:00,61.9,61.98,61.87,61.97,871455
2010-01-05 13:15:00,61.97,61.97,61.805,61.835,906095
2010-01-05 13:30:00,61.84,61.88,61.79,61.86,937085
2010-01-05 13:45:00,61.86,61.9,61.859,61.87,961679
2010-01-05 14:00:00,61.88,61.94,61.84,61.91,1001033
2010-01-05 14:15:00,61.91,61.91,61.8,61.87,1052244
2010-01-05 14:30:00,61.87,61.92,61.84,61.91,1090174
2010-01-05 14:45:00,61.915,61.95,61.89,61.89,1125384
2010-01-05 15:00:00,61.9,61.92,61.87,61.905,1190734
2010-01-05 15:15:00,61.91,61.92,61.84,61.9,1255038
2010-01-05 15:30:00,61.9,61.92,61.82,61.82,1308843
2010-01-05 15:45:00,61.82,61.88,61.78,61.8,1472000
2010-01-05 16:00:00,61.8,61.95,61.79,61.86,1658979
2010-01-06 09:45:00,62.06,62.12,61.66,61.81,72894
2010-01-06 10:00:00,61.78,61.84,61.68,61.77,107878
2010-01-06 10:15:00,61.77,61.83,61.65,61.72,165548
2010-01-06 10:30:00,61.7225,61.78,61.7,61.75,200298
2010-01-06 10:45:00,61.75,61.835,61.7,61.75,237974
2010-01-06 11:00:00,61.75,61.77,61.74,61.7694,276993
2010-01-06 11:15:00,61.76,61.77,61.74,61.76,310356
2010-01-06 11:30:00,61.7599,61.7599,61.66,61.66,337569
2010-01-06 11:45:00,61.66,61.69,61.58,61.66,361392
2010-01-06 12:00:00,61.66,61.75,61.59,61.69,389292
2010-01-06 12:15:00,61.7,61.86,61.673,61.715,432798
2010-01-06 12:30:00,61.74,61.75,61.56,61.56,472048
2010-01-06 12:45:00,61.56,61.68,61.47,61.68,554105
2010-01-06 13:00:00,61.68,61.8,61.67,61.76,604305
2010-01-06 13:15:00,61.76,61.84,61.75,61.81,647323
2010-01-06 13:30:00,61.825,61.96,61.81,61.96,679012
2010-01-06 13:45:00,61.9475,61.97,61.84,61.87,722732
2010-01-06 14:00:00,61.85,61.88,61.78,61.81,751090
2010-01-06 14:15:00,61.85,62.02,61.84,62.005,779172
2010-01-06 14:30:00,62.0,62.0,61.94,61.96,805102
2010-01-06 14:45:00,61.98,62.04,61.965,62.01,832489
2010-01-06 15:00:00,62.02,62.1,61.975,62.09,862123
2010-01-06 15:15:00,62.07,62.09,61.98,61.99,917979
2010-01-06 15:30:00,61.99,61.99,61.84,61.9,956721
2010-01-06 15:45:00,61.91,62.01,61.85,61.86,1043364
2010-01-06 16:00:00,61.87,62.01,61.782,61.95,1168412
2010-01-07 09:45:00,63.71,63.93,62.16,62.96,137001
2010-01-07 10:00:00,62.98,63.14,62.87,62.98,233643
2010-01-07 10:15:00,62.98,63.09,62.97,62.97,307749
2010-01-07 10:30:00,62.97,63.01,62.87,62.9,374217
2010-01-07 10:45:00,62.9,63.16,62.88,63.12,481878
2010-01-07 11:00:00,63.13,63.24,62.96,63.01,542818
2010-01-07 11:15:00,63.01,63.03,62.94,62.96,613258
2010-01-07 11:30:00,62.96,62.99,62.91,62.97,639765
2010-01-07 11:45:00,62.98,63.04,62.97,63.03,696679
2010-01-07 12:00:00,63.05,63.33,63.03,63.29,742398
2010-01-07 12:15:00,63.27,63.28,63.09,63.1,769386
2010-01-07 12:30:00,63.1,63.1,63.0,63.0,803222
2010-01-07 12:45:00,63.002,63.07,63.0,63.06,833324
2010-01-07 13:00:00,63.06,63.12,63.05,63.11,861595
2010-01-07 13:15:00,63.11,63.12,63.08,63.08,875495
2010-01-07 13:30:00,63.1,63.22,63.1,63.205,910963
2010-01-07 13:45:00,63.2,63.22,63.19,63.2,929149
2010-01-07 14:00:00,63.205,63.28,63.2,63.21,952184
2010-01-07 14:15:00,63.21,63.2299,63.15,63.169,968550
2010-01-07 14:30:00,63.154,63.25,63.15,63.24,992830
2010-01-07 14:45:00,63.2346,63.38,63.21,63.37,1034530
2010-01-07 15:00:00,63.36,63.62,63.36,63.54,1095448
2010-01-07 15:15:00,63.53,63.54,63.36,63.39,1145337
2010-01-07 15:30:00,63.37,63.7,63.34,63.605,1225407
2010-01-07 15:45:00,63.61,63.62,63.32,63.35,1360260
2010-01-07 16:00:00,63.35,63.37,63.24,63.37,1608197
2010-01-08 09:45:00,61.81,62.84,61.1,61.69,234995
2010-01-08 10:00:00,61.68,62.12,61.58,62.08,410919
2010-01-08 10:15:00,62.09,62.8,62.07,62.74,584467
2010-01-08 10:30:00,62.73,62.76,62.33,62.365,687224
2010-01-08 10:45:00,62.365,62.37,61.83,61.93,837329
2010-01-08 11:00:00,61.9379,61.97,61.8,61.97,945559
2010-01-08 11:15:00,61.99,62.06,61.9,61.935,996532
2010-01-08 11:30:00,61.935,62.03,61.92,61.92,1039929
2010-01-08 11:45:00,61.92,62.15,61.91,62.15,1071594
2010-01-08 12:00:00,62.15,62.31,62.13,62.24,1115146
2010-01-08 12:15:00,62.23,62.26,62.12,62.18,1151996
2010-01-08 12:30:00,62.19,62.2,62.05,62.09,1190306
2010-01-08 12:45:00,62.085,62.13,62.08,62.12,1221432
2010-01-08 13:00:00,62.12,62.13,62.08,62.08,1259635
2010-01-08 13:15:00,62.09,62.17,62.08,62.1101,1289257
2010-01-08 13:30:00,62.125,62.13,62.02,62.03,1335309
2010-01-08 13:45:00,62.04,62.12,62.0,62.0,1384083
2010-01-08 14:00:00,62.001,62.06,61.94,61.94,1432130
2010-01-08 14:15:00,61.94,62.01,61.9,61.96,1486310
2010-01-08 14:30:00,61.96,61.9695,61.69,61.73,1559670
