TICKER,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP
MTB,Banks,Financial,Commer Banks-Eastern US
MWW,Commercial Services,"Consumer, Non-cyclical",Human Resources
AMGN,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene
FDX,Transportation,Industrial,Transport-Services
ILMN,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene
DVN,Oil&Gas,Energy,Oil Comp-Explor&Prodtn
PBG,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic
BNI,Transportation,Industrial,Transport-Rail
XYL,Machinery-Diversified,Industrial,Machinery-Pumps
FHN,Banks,Financial,Commer Banks-Southern US
UNH,Healthcare-Services,"Consumer, Non-cyclical",Medical-HMO
RE,Insurance,Financial,Reinsurance
ABT,Healthcare-Products,"Consumer, Non-cyclical",Medical Products
WRK,Packaging&Containers,Industrial,Containers-Paper/Plastic
IP,Forest Products&Paper,Basic Materials,Paper&Related Products
REGN,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene
BHF,Insurance,Financial,Life/Health Insurance
EQT,Oil&Gas,Energy,Oil Comp-Explor&Prodtn
UA,Apparel,"Consumer, Cyclical",Apparel Manufacturers
ANDV,Oil&Gas,Energy,Oil Refining&Marketing
SPG,REITS,Financial,REITS-Regional Malls
EMR,Electrical Compo&Equip,Industrial,Electric Products-Misc
DISCA,Media,Communications,Broadcast Serv/Program
ANTM,Healthcare-Services,"Consumer, Non-cyclical",Medical-HMO
LB,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe
AGN,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs
IBM,Computers,Technology,Computer Services
HD,Retail,"Consumer, Cyclical",Retail-Building Products
EMC,Computers,Technology,Computers-Memory Devices
ROK,Machinery-Diversified,Industrial,Industrial Automat/Robot
AES,Electric,Utilities,Electric-Integrated
HRB,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance
MDP,Media,Communications,Publishing-Periodicals
UDR,REITS,Financial,REITS-Apartments
JNJ,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs
BHI,Oil&Gas Services,Energy,Oil-Field Services
KMB,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc
RMD,Healthcare-Products,"Consumer, Non-cyclical",Respiratory Products
LLTC,Semiconductors,Technology,Semicon Compo-Intg Circu
BSX,Healthcare-Products,"Consumer, Non-cyclical",Medical Instruments
HRL,Food,"Consumer, Non-cyclical",Food-Meat Products
WYN,Lodging,"Consumer, Cyclical",Hotels&Motels
RX,Software,Technology,Medical Information Sys
SVU,Food,"Consumer, Non-cyclical",Food-Retail
PDCO,Healthcare-Products,"Consumer, Non-cyclical",Dental Supplies&Equip
SPLS,Retail,"Consumer, Cyclical",Retail-Office Supplies
GRMN,Electronics,Industrial,Electronic Compo-Misc
FLIR,Electronics,Industrial,Electronic Measur Instr
AN,Retail,"Consumer, Cyclical",Retail-Automobile
PBCT,Savings&Loans,Financial,S&L/Thrifts-Eastern US
LVLT,Telecommunications,Communications,Telecom Services
XEL,Electric,Utilities,Electric-Integrated
NFX,Oil&Gas,Energy,Oil Comp-Explor&Prodtn
CCL,Leisure Time,"Consumer, Cyclical",Cruise Lines
WBA,Retail,"Consumer, Cyclical",Retail-Drug Store
YUMC,Retail,"Consumer, Cyclical",Retail-Restaurants
VRTX,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene
ALXN,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene
LLY,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs
PLL,Miscellaneous Manufactur,Industrial,Filtration/Separat Prod
MGM,Lodging,"Consumer, Cyclical",Casino Hotels
LM,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv
IT,Commercial Services,"Consumer, Non-cyclical",Consulting Services
DISH,Media,Communications,Cable/Satellite TV
PG,Cosmetics/Personal Care,"Consumer, Non-cyclical",Cosmetics&Toiletries
GPC,Retail,"Consumer, Cyclical",Retail-Auto Parts
LUK,Investment Companies,Financial,Investment Companies
